No.,Institution,Contract,Date,Supplier,Amount
14,"Министерство за земјоделство, шумарство и водостопанство",Адаптација на постоечка филтер станица во Штип,30.04.2020,Друштво за инженеринг услуги ИСКРА СИСТЕМИ-М ДООЕЛ Скопје,333021882
15,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Ископ на кровинска јаловина во Рудник Брод Гнеотино (РЕК Битола),15.06.2020,"Друштво за производство, трговија и услуги РУД-КОП увоз-извоз ДООЕЛ Битола",330400000
16,Агенција за финансиска поддршка во земјоделството и руралниот развој,Набавка на гориво за земјоделска механизација,16.04.2020,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,280000000
17,Министерство за здравство,Лекови за лекување на ретки болести,25.06.2020,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,263189819
18,Агенција за задолжителни нафтени резерви,Делива набавка на Еуродизел БС (Д-Е-V) (Дизел гориво EN 590),26.05.2020,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,262052626
19,Агенција за задолжителни нафтени резерви,Делива набавка на Еуродизел БС (Д-Е-V) (Дизел гориво EN 590),30.06.2020,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,240214908
20,ЕВН Македонија АД- Скопје,"центрифугирани армиранобетонски столбови, конзоли и ногари за надземни мрежи со номинален напон 0,4kV, 20 kV и 35 kV и центрифугирани армиранобетонски столбни трафостаници",15.06.2020,"Фабрика КАРПОШ-Акционерско друштво за проектирање,производство и монтажа на бетонски префабрикати,станови,индустриски објекти,мостови и далноводи Скопје",207230572
21,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Реконструкција, санација на бетонските облоги на Водостанските шахти ХЕ „Вруток“ према изготвено санационо решение (ХЕЦ Маврово)",23.09.2020,Друштво за производство и промет на големо и мало ТУРБОИНЖЕНЕРИНГ ДООЕЛ увоз-извоз Скопје,206493179
22,ЈП Комунална хигиена Скопје,"Специјални комунални возило и останати возила(кипер,цистерни,метлачки)",31.12.2020,Друштво за трговија и посредување КАРГОМАКС ДООЕЛ Миладиновци Илинден,200010000
23,Државен завод за статистика,Лаптопи,02.09.2020,Македонски Телеком Акционерско друштво за електронски комуникации - Скопје,199498110
24,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Изработка на дренажни бунари и пиезометри со придружна опрема за одводнување за заштита на ПЈС и ПК Брод Гнеотино од подземни води (РЕК Битола),21.04.2020,"Друштво за производство, промет и услуги СТЕНТОН ГРАДБА ДОО с.Долно Оризари, Битола",177000000
25,Министерство за образование и наука,Откуп на учебници и придружен дидактички и работен материјал за основно образование за учебната 2020/2021 година (Дел 4),05.08.2020,Друштво за графички услуги и трговија АРС ЛАМИНА ДОО Скопје,162294942
26,Град Скопје,"Изградба, реконструкција, одржување на бул. „Никола Карев“ - фазна реализација (од влез во касарна „Илинден“ до „Момин Поток“)",09.12.2020,"Друштво за градежништво, транспорт, трговија и услуги ЈУ-БАЈ 2 Амет ДООЕЛ с.Бојане Скопје",160764941
27,ЕВН Македонија АД- Скопје,Набавка на Мерно- разводни ормари (МРО) - стандардна изведба,05.10.2020,"Друштво за производство, трговија и услуги СМЕЛТ-ИНГ ДОО Скопје",153400000
28,Јавно претпријатие за одржување и заштита на магистралните и регионалните патишта - Скопје ц.о.,Набавки на стоки на Боја за обележување на патишта разредувач и перла во времетрење од 2(две) години,11.05.2020,Друштво за трговија и услуги КРАФТИНГ ГРУП ДООЕЛ експорт-импорт Скопје,153379940
29,Агенција за задолжителни нафтени резерви,Делива набавка на Еуродизел БС (Д-Е-V) (Дизел гориво EN 590),30.06.2020,"Друштво за производство, промет и услуги СУПЕРТРЕЈД ДООЕЛ увоз-извоз Скопје",152864032
30,Агенција за задолжителни нафтени резерви,Делива набавка на Еуродизел БС (Д-Е-V) (Дизел гориво EN 590),26.05.2020,"Друштво за производство, промет и услуги СУПЕРТРЕЈД ДООЕЛ увоз-извоз Скопје",152864032
31,Агенција за храна и ветеринарство,Лабараториски услуги за здравствена заштита на животните од заразни болести,18.02.2020,Факултет за ветеринарна медицина - Скопје,143530063
32,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Гумени транспортни ленти со платно (РЕК Битола),17.11.2020,Kauchuk AD,141600000
33,Општина Гостивар,Рамковна спогодба за изградба на фекална и атмосферска канализација низ територијата на општина Гостивар,05.10.2020,Друштво за градежништво и трговија АЌУА-ИНЖЕНЕРИНГ АГЕ ДООЕЛ експорт-импорт Тетово,141600000
34,М.Ж. ТранспортАД-Скопје,Електрична енергија,27.04.2020,"Друштво за производство, трговија и услуги ЕНЕРЏИ АКТИВЕ увоз-извоз ДООЕЛ Скопје",141600000
35,ЈП Водовод и канализација - Скопје,Набавка на електрична енергија,04.06.2020,"Друштво за производство, трговија и услуги ЕНЕРЏИ АКТИВЕ увоз-извоз ДООЕЛ Скопје",141600000
36,ЕВН Македонија АД- Скопје,Самоносив кабелски сноп СКС 1 kV,09.10.2020,"Друштво за производство, трговија и услуги КАБЕКС КАБЛЕС ДООЕЛ Неготино",130974952
37,Јавно претпријатие за државни патишта,"Санација на свлечиште на регионален пат Р1308, Претор – Маркова Нога.",20.02.2020,"Друштво за производство, промет и услуги СТЕНТОН ГРАДБА ДОО с.Долно Оризари, Битола",127443941
38,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",ЈН 273-2020 Ангажирање на помошна механизација за потребите на рударската оператива во ПЕ Рудници (РЕК Битола),21.12.2020,"Друштво за производство,трговија и услуги ЗИМАК Стретен ДООЕЛ с.Братиндол Битола",123900000
39,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Хидротехничка опрема за одводнување за заштита на ПК ПЈС и ПК Брод-Гнеотино од површински води (РЕК Битола),07.12.2020,"Друштво за производство, промет и услуги СТЕНТОН ГРАДБА ДОО с.Долно Оризари, Битола",123787481
40,Министерство за труд и социјална политика,"Изведување на градежни работи за изградба на детска градинка во Општина Чаир, Скопје (2020-2022)",24.07.2020,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",120083880
41,Министерство за здравство,градежно-занаетчиски услуги за тековно оддржување на здравствените објекти во Република Северна Македонија,10.02.2020,"Друштво за трговија,производство и услуги ЕВРОКОНЕКТ увоз-извоз ДООЕЛ Струмица",119014800
42,Град Скопје,Добавувач на електрична енергија за потребите на Град Скопје,05.05.2020,Друштво за трговија и услуги ЕНЕРЏИ ДЕЛИВЕРИ СОЛУШНС АД Скопје,118236000
43,Јавно претпријатие за државни патишта,Градежно санациски работи на мост на Р1204 над река Пчиња (Доброшане),30.04.2020,Друштво за градежништво и проектирање СИНТЕК ИНЖЕНЕРИНГ ДООЕЛ Скопје,117462948
44,Министерство за образование и наука,Откуп на учебници и придружен дидактички и работен материјал за основно образование за учебната 2020/2021 година (Дел 3),05.08.2020,"Друштво за продукција,маркетинг,дизајн,промет и услуги АРБЕРИА-ДЕСИГН ДООЕЛ експорт-импорт Тетово",115791483
45,Дирекција за технолошки индустриски развојни зони,"Изведба на инфраструктурни објекти (сообраќајнам хидротехничка, гасоводна и електротехничка инфратсруктура) за дел од Булевар, улица1, улица3 и улица 9 во ТИРЗ Скопје 2",04.02.2020,Друштво за градежништво БЕТОН Акционерско друштво Скопје,106902886
46,Град Скопје,Набавка на ПП автомеханичка скала,12.02.2020,Horoszcoop KFT Budapest,106023000
47,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Автобуси за потребите на РЕК Битола и нивно одржување во гарантен период (РЕК Битола),05.03.2020,Друштво за внатрешен и надворешен промет АУТОМАКЕДОНИЈА АД Скопје,104194000
48,Министерство за здравство,Коагулациски фактори и незаместителна терапија за хемофилија,05.02.2020,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",103194000
49,"Министерство за земјоделство, шумарство и водостопанство",Градежни работи за изградба на постројка за пречистување на вода за пиење во општина Карбинци,21.02.2020,"Друштво за производство,услуги и трговија АЛФА ИНЖИНЕРИНГ ДООЕЛ увоз-извоз Скопје",101910757
50,Град Скопје,"Изградба, одржување и реконструкција на бул. Босна и Херцеговина (согласно основен проект за измена на проект за дел од ул. Босна и Херцеговина од раскрсница со бул. Христијан Тодоровски Карпош до раскрсница со ул. Кемал Сејфула и ул. Александар Урдаревски, општина Бутел - Скопје)",18.03.2020,"Друштво за градежништво,производство и инженеринг увоз-извоз ПЕЛАГОНИЈА АД Гостивар",101715319
51,Министерство за одбрана - сектор за логистика,Електрична енергија,18.12.2020,"Друштво за производство, трговија и услуги ЕНЕРЏИ АКТИВЕ увоз-извоз ДООЕЛ Скопје",98859999
52,ЕВН Македонија АД- Скопје,"20/0,4 kV Бетонски компактни трафостаници (КБТС 800 kVA, 1250 kVA и 2x1000 kVA)",30.09.2020,Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,97325813
53,Министерство за внатрешни работи на РСМ,Еуродизел и Еуросупер 95,21.10.2020,"Друштво за производство, промет и услуги СУПЕРТРЕЈД ДООЕЛ увоз-извоз Скопје",94400000
54,Министерство за внатрешни работи на РСМ,Еуродизел и Еуросупер 95,21.10.2020,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,94400000
55,Министерство за образование и наука,Рехабилитација на основни и средни училишта во РСМ,03.06.2020,"Друштво за градежништво, производство, услуги и трговија ИЗГРАДБА-КОМЕРЦ ДООЕЛ експорт-импорт Скопје",93928391
56,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект ГП 5.6.1 во Гевгелија,16.09.2020,Друштво за производство трговија угостителство градежништво и услуги АТРИУМ ДОО увоз-извоз Вевчани -Вевчани,93318152
57,ЕВН Македонија АД- Скопје,Набавка на Нафтени деривати (гориво) – со користење безготовинска картичка за плаќање,13.02.2020,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,91034429
58,Град Скопје,"Изградба на Партерно уредување на "" Кеј 13 ти Ноември"" ( од ""Tелеком"" до ""Холидеј Ин"")",06.10.2020,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,88634522
59,Царинска управа на РСМ,Набавка на акцизни марки за обележување на тутунски добра и течност за електронски цигари и за обележување на алкохолни пијалоци и меѓупроизводи,05.11.2020,Друштво за производство и трговија БАТО ЕНД ДИВАЈН ГРАФИКС ЦЕНТАР ДООЕЛ увоз-извоз Скопје,88500000
60,ЕВН Македонија АД- Скопје,Мерно разводни ормари за директни мерни уреди -Специјална изведба,23.07.2020,Друштво за производство и трговија РАДЕ КОНЧАР-ТРАНСФОРМАТОРИ И ЕЛЕКТРИЧНИ ПОСТРОЈКИ-ТЕП ДООЕЛ Скопје,88199660
61,Министерство за образование и наука,Изградба на нов училишен објект ПУ во с.Долно Блаце Општина Чучер Сандево и изградба на нов училишен објект ООУ Наим Фрашери во КО Мала Речица,11.06.2020,"Друштво за градежништво,трговија и услуги НБ-ЦОМПАНУ ДОО Тетово",86339972
62,ЕВН Македонија АД- Скопје,Набавка на Нафтени деривати (гориво) – со користење безготовинска картичка за плаќање,13.02.2020,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,86175552
63,Министерство за здравство,Лекови за лекување на ретки болести,22.09.2020,"Друштво за трговија, застапништво и маркетинг ЦАРСО ИНТЕРНАЦИОНАЛ ДООЕЛ Илинден",86133600
64,Град Скопје,"Реконструкција, одржување на бул. Александар Македонски (фаза 2 и фаза 3)",27.08.2020,Друштво за градежништво БЕТОН Акционерско друштво Скопје,84207069
65,Министерство за внатрешни работи на РСМ,Униформа за припадници на специјална полиција,14.05.2020,Друштво за трговија и услуги ЈУНАЈТЕД ИНТЕРНЕШНЛ ТЕХНОЛОЏИС ДООЕЛ увоз - извоз Гевгелија,83108580
66,Радовиш - орган на општината,"Јавна набавка за доделување на договор за воспоставување на јавно приватно партнерство за реконструкција и одржување на јавното осветлување во општина Радовиш, преку воведување мерки за енергетска ефикасност според ЕСКО модел",31.07.2020,Друштво за енергетски инженеринг ИНТЕРЕНЕРГО МАКЕДОНИЈА ДООЕЛ увоз-извоз Скопје,83081173
67,Министерство за внатрешни работи на РСМ,"Услуги за тековно одржување на објекти на МВР со изведба на градежни, градежно-занатски, занатски, инсталатерски и други работи",05.10.2020,Друштво за градежништво трговија и услуги ЗОНИК ГРАДБА ИНЖЕНЕРИНГ ДООЕЛ увоз извоз Скопје,82600000
68,Министерство за внатрешни работи на РСМ,Мазут и екстра лесно гориво,22.10.2020,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",82600000
69,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Изработка на ревидиран основен и инфраструктурен проект заедно со изведба на санација на цевковод брана за ПЕ Субодол до ТЕ3, приклучна шахта во РЕ Рудник до влезот на ТЕ Термоелектрана приклучна жахта ХПВ со замена на цевки и арматура (РЕК Битола)",08.01.2020,"Друштво за градежништво, производство и услуги БВ ИНЖЕНЕРИНГ Битола ДООЕЛ",82010000
70,Министерство за внатрешни работи на РСМ,Електрична енергија,27.03.2020,"Друштво за производство, трговија и услуги ЕНЕРЏИ АКТИВЕ увоз-извоз ДООЕЛ Скопје",81549460
71,Општина Гостивар,Санација и реконструкција на локални улици и патишта во општина Гостивар.,17.06.2020,"Друштво за градежништво,производство и инженеринг увоз-извоз ПЕЛАГОНИЈА АД Гостивар",79737589
72,Агенција за задолжителни нафтени резерви,Делива набавка на Еуросупер БС 95,18.08.2020,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,78563152
73,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Светли деривати за сопствени бензиски пумпи на АД ЕСМ (РЕК Битола),16.09.2020,"Друштво за производство, промет и услуги СУПЕРТРЕЈД ДООЕЛ увоз-извоз Скопје",77880000
74,Министерство за внатрешни работи на РСМ,Гориво со вредносни ваучери,16.09.2020,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,76829589
75,Град Скопје,"Реконструкција, одржување на бул. „Александар Македонски“ (фаза 1)",31.08.2020,Друштво за транспорт градежништво и трговија ВАТО ДОО Студеничани,75136040
76,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",ЈН 273-2020 Ангажирање на помошна механизација за потребите на рударската оператива во ПЕ Рудници (РЕК Битола),21.12.2020,"Друштво за производство,трговија и услуги ЗИМАК Стретен ДООЕЛ с.Братиндол Битола",74340000
77,Град Скопје,Изградба на ул. Есенинова и подземни бунари со линиски системи,18.08.2020,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",72085805
78,Министерство за внатрешни работи на РСМ,"Услуги за колективно осигурување на вработени и осигурување од автоодговорност, автокаско и зелен картон",07.10.2020,Друштво за осигурување ХАЛК ОСИГУРУВАЊЕ АД Скопје,71390000
79,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Ангажирање на помошна механизација за потребите на рударската оператива во ПЕ Рудници (РЕК Битола),11.12.2020,"Друштво за производство, трговија и услуги ДИГЕР увоз извоз ДООЕЛ Битола",70800000
80,Министерство за внатрешни работи на РСМ,Униформа за припадници на специјална полиција,14.05.2020,Трговско друштво на големо и мало МИКЕИ-ИНТЕРНАЦИОНАЛ ДОО експорт-импорт Скопје,68735531
81,Министерство за внатрешни работи на РСМ,"МАСКИ хируршки со ластик за еднократна упореба - двослојна, МАСКИ хируршки на врзување за еднократна упореба - двослојна",26.03.2020,"Друштво за производство, промет и услуги ГИФТИ ТЕКС увоз-извоз ДООЕЛ Прилеп",68511980
82,ЈП „Национални шуми“- п.о.-Скопје,Нафта и нафтени деривати,14.10.2020,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,68277466
83,Министерство за здравство,Изградба на нов објект Поликлиника Сарај при ЈЗУ Здравствен дом - Скопје,16.06.2020,"Друштво за градежништво, трговија и услуги ЕУРОВИА ДООЕЛ Желино",67386530
84,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Опрема за парна турбина (РЕК Битола),28.09.2020,Kedra,64968483
85,Агенција за стоковни резерви,Набавка на меркантилна пченица,02.09.2020,"Друштво за производство, трговија и услуги АГРОГЛОБАЛ ТРЕЈД ДОО Скопје",64890000
86,Министерство за образование и наука,Рехабилитација на средни училишта во РСМ,03.06.2020,"Друштво за градежништво, производство, услуги и трговија ИЗГРАДБА-КОМЕРЦ ДООЕЛ експорт-импорт Скопје",64785986
87,ЈП Комунална хигиена Скопје,"Специјални комунални возило и останати возила(кипер,цистерни,метлачки)",31.12.2020,"Друштво за производство,трговија и услуги БРАКО ДОО увоз-извоз Велес",63602000
88,Министерство за здравство,Коагулациски фактори и незаместителна терапија за хемофилија,05.02.2020,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДООЕЛ Скопје",63359297
89,Министерство за внатрешни работи на РСМ,Гориво со вредносни ваучери,28.10.2020,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,63336402
90,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,"""Меѓународен тендер лекови годишна количина""",01.09.2020,Трговско друштво за внатрешен и надворешен промет ЗЕГИН ДОО Скопје,62417700
91,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Лекови,11.12.2020,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,62301101
92,ЈЗУ ИНСТИТУТ ЗА ТРАНСФУЗИОНА МЕДИЦИНА НА РЕПУБЛИКА МАКЕДОНИЈА СКОПЈЕ,КЕСИ ЗА ЗЕМАЊЕ КРВ СО ОТСТАПУВАЊЕ НА КОРИСТЕЊЕ НА ОПРЕМА ЗА ПРЕРАБОТКА НА КРВТА И КРВНИТЕ КОМПОНЕНТИ,19.08.2020,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",62261520
