No.,Institution,Contract,Supplier,Date,Amount
22,Јавно претпријатие за државни патишта,"Дополнителни услуги за Надзор над изградба на автопат А2, делница Кичево – Охрид.",Градежен институт МАКЕДОНИЈА АД-Скопје,15.11.2018,184772185
23,Министерство за образование и наука,Набавка за откуп на учебници за основно образование и дополнителен дидактички и раборен материјал за адаптираните учебници од странство за учебната 2018/2019 година.,Друштво за графички услуги и трговија АРС ЛАМИНА ДОО Скопје,14.08.2018,178495166
24,М.Ж. ТранспортАД-Скопје,Дизел гориво и нафтени деривати,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",24.12.2018,175000000
25,АД Електрани на Македонија - Скопје,"16-02/2018 Услуга од ископ на јаглен и јаловина во ПЕ Рудници, РЕК Битола",Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,08.02.2018,153400000
26,ЕВН Македонија АД- Скопје,"Набавка на мерно-разводни ормари (мини, нормални, вградени, улични)","Друштво за производство,трговија и услуги СМЕЛТ-ИНГ ДОО Скопје",16.05.2018,153400000
27,ЕВН Македонија АД- Скопје,Набавка на услуга за обезбедување,Друштво за обезбедување на лица и имот НИКОБ ДОО експорт-импорт Скопје,23.02.2018,153370500
28,ЕВН Македонија АД- Скопје,"Изолиран нисконапонски воздушен кабел-самоносив кабловски сноп (СКС) Uo/U 0,6/1 kV со самоносечки проводник и самоносив кабловски сноп",Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,27.03.2018,152810000
29,Град Скопје,"Изградба, одржување и реконструкција на бул. “Босна и Херцеговина“ од 0+000,00 до 1+366,64","Фабрика КАРПОШ-Акционерско друштво за проектирање,производство и монтажа на бетонски префабрикати,станови,индустриски објекти,мостови и далноводи Скопје",20.09.2018,149777324
30,ЈП Македонија пат- Скопје,Набавка на стоки- индустриска сол за одржување на патиштата,"Друштво за трговија,производство и услуги ДИМАКС РУДНИЦИ ДООЕЛ Сопотница, Демир Хисар",01.10.2018,149499712
31,Министерство за образование и наука,Набавка за откуп на учебници за основно образование и дополнителен дидактички и раборен материјал за адаптираните учебници од странство за учебната 2018/2019 година.,"Друштво за продукција,маркетинг,дизајн,промет и услуги АРБЕРИА-ДЕСИГН ДООЕЛ експорт-импорт Тетово",14.08.2018,149027811
32,Јавно претпријатие за комунални дејности „Комуналец“ Гостивар,Изградба на атмосферска и фекална канализација во територијата на Општина Гостивар,"Друштво за градежништво, трговија и услуги ЕУРОВИА ДООЕЛ Желино",17.08.2018,145140000
33,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ УК за радиотерапија и онкологија,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДООЕЛ Скопје ",10.08.2018,144300000
34,ЈП Водовод и канализација - Скопје,Набавка на електрична енергија – по спецификација,СОЛАРПРО ХОЛДИНГ АД Софија Р.Бугарија - подружница во Република Македонија,05.06.2018,141600000
35,АД Електрани на Македонија - Скопје,"Резервни делови и опрема за парна турбина за ПЕ Термоелектрани, РЕК Битола",Kedra,04.12.2018,141010000
36,ЈЗУ Клиника за Хематологија,Набавка на лекови,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",28.05.2018,132905092
37,ЕВН Македонија АД- Скопје,Мерно разводни ормари за директни мерни уреди -Специјална изведба,Друштво за производство и трговија РАДЕ КОНЧАР-ТРАНСФОРМАТОРИ И ЕЛЕКТРИЧНИ ПОСТРОЈКИ-ТЕП ДООЕЛ Скопје,09.07.2018,131484396
38,ЕВН Македонија АД- Скопје,Осигурување,Друштво за осигурување УНИКА А.Д. - Скопје,01.10.2018,125462840
39,Град Скопје,"Изградба на бул.Христијан Тодоровски Карпош – втора фаза, од Натаниел Кучевишки до Обиколница","Друштво за градежништво,производство и инженеринг увоз-извоз ПЕЛАГОНИЈА АД Гостивар",07.08.2018,125460081
40,Дирекција за технолошки индустриски развојни зони,Изведба на денивелиран патен јазол за ТИРЗ Струга,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,27.03.2018,123782000
41,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шеќер и инсулински пумпи со потрошен материјал за периодот септември 2018 - септември 2010 за потребите на населението на РМ","Друштво за трговија, производство и услуги ПРОМЕДИКА ДООЕЛ Скопје",31.12.2018,121466835
42,Јавно претпријатие за државни патишта,"Санација на мост над река Вардар на регионален пат Р1103, делница Лакавица – Неготино (Пепелиште)",Друштво за завршни работи во градежништвото и трговија на големо и мало СИНТЕК ДОО увоз извоз Скопје,14.08.2018,115168000
43,ЈП Комунална хигиена Скопје,Ангажирање на агенција за привремени вработувања ,Агенција за привремени вработувања Мотиви Скопје,06.08.2018,113280000
44,ГА-МА АД - Скопје,Тековно одржување и итни приклучоци,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,20.03.2018,110000000
45,Служба за општи и заеднички работи на Владата на Република Македонија,Моторни возила по пат на оперативен лизинг,Друштво за лизинг ПОРШЕ ЛИЗИНГ ДООЕЛ Скопје,06.07.2018,109411560
46,ЈП Водовод и канализација - Скопје,"Реконструкција, доградба и и замена на водоводни цевки – по предмер, по втор пат.","Трговско друштво за производство, проектирање и инженеринг ВАРДАРГРАДБА ДОО с. Трубарево Скопје, Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ Струмица, АД за проектирање и изведување градежно-занаетчиски работи ЕНЕРГОМОНТ Скопје, ЦМЦ ГРОУП Трговско друштво инженеринг, советување и застапување ДОО Скопје, Друштво за инженеринг, проектирање, монтажа, производство и трговија КОДИНГ ДООЕЛ Скопје",17.10.2018,106200000
47,ЕВН Македонија АД- Скопје,"20/0,4 kV Бетонски компактни трафостаници (КБТС 800 kVA, 1250 kVA и 2x1000 kVA)",ПС електрик ООД,05.09.2018,100738794
48,Министерство за транспорт и врски,"Набавката за замена и инсталација на куќни, комбинирани, индустриски и ултразвучни водомери и нивна интеграција во систем за далечинско отчитување во системот за водоснабдување на општина Куманово",Друштво за производство и трговија ТЕХНОСКОП ДООЕЛ Скопје,03.04.2018,96742300
49,ЕВН Македонија АД- Скопје,Набавка на Нафтени деривати (гориво) – со користење безготовинска картичка за плаќање,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,05.02.2018,96409609
50,Министерство за внатрешни работи на РМ,Еуродизел БС (Д-Е V),Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,21.08.2018,94400000
51,Министерство за животна средина и просторно планирање,Изградба на дел од доводни цевководи за водоснабдување на населени места во општина Липково,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,30.04.2018,92499494
52,АД Електрани на Македонија - Скопје,"16-142/2018 Ангажирање на помошна механизација за потребите на рударска оператива во ПЕ Рудници, РЕК Битола","Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",15.10.2018,92040000
53,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шеќер и инсулински пумпи со потрошен материјал за периодот септември 2018 - септември 2010 за потребите на населението на РМ",Друштво за промет и услуги ФАРМАС МН ДООЕЛ Скопје,31.12.2018,89084808
54,Агенција за храна и ветеринарство,Лабораториски услуги за здравствена заштита на животните од заразни болести,Факултет за ветеринарна медицина - Скопје,26.04.2018,87999999
55,Министерство за транспорт и врски,"Изградба на пречистителна станица за вода за пиење за регионален водоснабдителен систем Липково, резервоар за н.м. Липково и довод до постоечка мрежа на н.м. Липково, општина Липково",Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,28.05.2018,87920126
56,ЈЗУ ИНСТИТУТ ЗА ТРАНСФУЗИОНА МЕДИЦИНА НА РЕПУБЛИКА МАКЕДОНИЈА СКОПЈЕ,Коагулационен фактор VIIa (рекомбинантен),"Друштво за трговија, производство и услуги ФЕНИКС ФАРМА ДООЕЛ Скопје ",04.04.2018,85473960
57,ГА-МА АД - Скопје,Тековно одржување и итни приклучоци ,"Друштво за производство, трговија и услуги ЕЛ ТЕ ИНЖЕНЕРИНГ Горан и др. ДОО експорт-импорт Скопје ",21.03.2018,82600000
58,М.Ж. ТранспортАД-Скопје,Електрична енергија,"Друштво за производство, трговија и услуги ЕНЕРЏИ АКТИВЕ увоз-извоз ДООЕЛ Скопје",29.11.2018,82419061
59,ЈП Македонија пат- Скопје,Набавка на дизел гориво - Еуродизел БС ( Д-Е V ),"Друштво за производство, промет и услуги СУПЕРТРЕЈД ДОО увоз-извоз Скопје ",.03.05.2018,79650000
60,АД Електрани на Македонија - Скопје,"Ископ на јаловина (инвестициона откривка) за ПК ПЈС Суводол, РЕК Битола",Градежно друштво ГРАНИТ АД-Скопје,13.08.2018,78470000
61,Општина Куманово,Превоз на ученици во основи и средни училишта во Општина Куманово,"Друштво за превоз,производство,трговија и услуги ОЛИ-ТРАВЕЛ ДООЕЛ увоз-извоз Куманово",03.09.2018,76649706
62,ЈП Комунална хигиена Скопје,Горива,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",19.11.2018,75397486
63,АД Електрани на Македонија - Скопје,"Ископ на јаловина (инвестициона откривка) за ПК ПЈС Суводол, РЕК Битола","Друштво за производство, трговија и услуги РУБИТОН увоз-извоз ДООЕЛ Битола",13.08.2018,72865000
64,АД Електрани на Македонија - Скопје,"Ископ на јаловина (инвестициона откривка) за ПК ПЈС Суводол, РЕК Битола","Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",13.08.2018,72865000
65,Министерство за здравство,Природен гас за потребите на ЈЗУ во Комплекс Клиники Маја Тереза,Друштво за трговија МАКПЕТРОЛ ПРОМ - ГАС ДООЕЛ Скопје,17.10.2018,71236482
66,Министерство за внатрешни работи на РМ,"Услуги за тековно одржување на објекти на МВР, УБК, ЦПС, БЈБ и Гранична Полиција на цела територија на Република Македонија со изведба на градежни, градежно- занатски, занатски, инсталатерски и други работи.","Друштво за производство, промет, проектирање, монтажа и инсталирање, инжењеринг ПРОМОНТИНГ ДООЕЛ Скопје",06.06.2018,70800000
67,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Трговско друштво за внатрешен и надворешен промет ЗЕГИН ДОО Скопје,10.08.2018,70665483
68,Јавно претпријатие за државни патишта,"Дополнителни услуги за Надзор над изградба на автопат А4, делница Миладиновци – Свети Николе – Штип","Друштво за градежништво, промет и услуги ГЕИНГ Кребс унд Кифер Интернешнл и др.ДОО Скопје",25.04.2018,68977995
69,Општина Струмица,Изведба на улици и уредување на градежно земјиште по програми на општина Струмица,"Друштво за производство,услуги и трговија увоз-извоз УНИВЕРЗАЛ ГРАДБА ДООЕЛ Струмица",08.08.2018,68000000
70,ЕВН Македонија АД- Скопје,"Изолиран нисконапонски воздушен кабел-самоносив кабловски сноп (СКС) Uo/U 0,6/1 kV со самоносечки проводник и самоносив кабловски сноп",Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,27.03.2018,65490000
71,Министерство за здравство,Инсулин за потребите на населението на РМ,"Друштво за трговија, производство и услуги ФЕНИКС ФАРМА ДООЕЛ Скопје",11.09.2018,64187182
72,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Регистрирани лекови,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,23.05.2018,63764005
73,Јавно претпријатие за енергетски дејности “Струмица-Гас“ Струмица,Набавка на компресиран природен гас (CNG) за потребите на ЈПЕД Струмица-Гас Струмица за период од 2018-2020 година.,Друштво за трговија и услуги СИ ЕН ЏИ СИСТЕМС ДООЕЛ увоз-извоз Скопје,05.03.2018,63010000
74,ЈЗУ Клиника за Хематологија,Набавка на лекови,Трговско друштво за внатрешен и надворешен промет ЗЕГИН ДОО Скопје,28.05.2018,62640531
75,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ УК за радиотерапија и онкологија,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",10.08.2018,62199027
76,Министерство за животна средина и просторно планирање,Изведба на главен колектор и секундарни колектори Дел II – Делница од премин преку Кочанска река до ПСОВ Кочани и изведба на секундарни колектори со нивно поврзување на главен колектор Дел I,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,15.03.2018,60166748
