No.,Institution,Contract,Supplier,Date,Amount
11,Министерство за култура,Изградба на објект со скулптурална композиција,Друштво за градежништво БЕТОН Акционерско друштво Скопје,01.09.2015,342223926
12,Агенција за млади и спорт,изградба на затворен пливачки базен во општина Охрид,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",29.09.2015,297714000
13,Собрание на Република Македонија,Изведување на градежни и градежно - занаетчиски работи во објектот на Собранието на Република Македонија,Друштво за градежништво БЕТОН Акционерско друштво Скопје,27.03.2015,262911673
14,Министерство за здравство,Набавка на лекови за потребите на Јавните здравствени установи во Република Македонија,Трговско друштво за внатрешен и надворешен промет ЗЕГИН ДОО Скопје,14.08.2015,252755401
15,Општина Гази Баба,Изградба на Спортски комплекс “Фудбалски тренинг центар“,Акционерско друштво РАКОМЕТЕН КЛУБ ВАРДАР Скопје,30.06.2015,251077670
16,Општина Охрид,Изградба на административно деловно трговска зграда која вклучува изградба на затворен зелен пазар (трета објава),Трговско друштво за градежништво производство трговија и угостителство ИЛИНДЕН АД Струга,28.04.2015,239610029
17,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1 (еден) нафтен дериват – Еуродизел БС (Д-Е-V) за задолжителните резерви на Република Македонија,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,11.05.2015,229200000
18,Дирекција за задолжителни резерви на нафта и нафтени деривати,Делива набавка на Еуродизел БС (Д-Е V),ОКТА Рафинерија на нафта Акционерско друштво-Скопје,15.09.2015,229200000
19,Министерство за здравство,Реконструкција и адаптација на Специјална болница Св.Еразмо Охрид,"Друштво за градежништво, производство, трговија, угостителство и услуги ВИА ИНЖИНЕРИНГ ДОО увоз-извоз Цветомир Вевчани",26.11.2015,219100195
20,Општина Охрид,"Модернизација, проширување и одржување на системот за јавното осветлување на Општина Охрид.",ICS - systémy s.r.o.,01.06.2015,215650980
21,АД Електрани на Македонија - Скопје,Услуга од помошна механизација на повик за потребите на РЕК Битола,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",09.02.2015,212400000
22,"ЈЗУ,,Психијатриска Болница,, - Демир Хисар",Лабораториски реагенси и лабораториски потрошен материјал,Трговско друштво за промет и услуги АХЕМА ДОО експорт-импорт Скопје,27.10.2015,199840067
23,Град Скопје,Дополнителни работи за изградба на објект Градска куќа,Друштво за градежништво БЕТОН Акционерско друштво Скопје,16.07.2015,194700000
24,АД Електрани на Македонија - Скопје,Услуга од помошна механизација на повик за потребите на РЕК Битола,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",03.06.2015,188800000
25,ЈП Македонија пат- Скопје,Битумен 50/70,"Друштво за промет на големо и мало,застапување,посредување и реекспорт КИ-ЕМ ДООЕЛ експорт-импорт Скопје",13.05.2016,188752800
26,Министерство за здравство,Набавка на лекови за потребите на Јавните здравствени установи во Република Македонија,"Друштво за производство, трговија и услуги ФАРМА ТРЕЈД ДООЕЛ увоз-извоз Скопје",14.08.2015,182261707
27,Министерство за здравство,Набавка на Вакцини за континуирана имунизација и имунизација по епидемиолошки индикации на населението во Република Македонија за 2015 и 2016година,Друштво за производство и промет на хемиски и козметички производи ЕЛБИЈОР ДОО увоз-извоз Скопје,17.12.2015,179509734
28,ЕВН Македонија АД- Скопје,Осигурување на имот,Друштво за осигурување УНИКА А.Д. - Скопје,18.02.2015,161040240
29,Град Скопје,Изградба на Бул. “Христијан Тодоровски Карпош“ – прва фаза,"Друштво за градежништво,производство и инженеринг увоз-извоз ПЕЛАГОНИЈА АД Гостивар",04.12.2015,160540587
30,Дирекција за задолжителни резерви на нафта и нафтени деривати,Делива набавка на Еуродизел БС (Д-Е V),МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,28.09.2015,152800000
31,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1 (еден) нафтен дериват – Еуродизел БС (Д-Е-V) за задолжителните резерви на Република Македонија,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,18.05.2015,152800000
32,М.Ж. ТранспортАД-Скопје,електрична енергија,"Друштво за производство, трговија и услуги ФЈУЧР ЕНЕРЏИ увоз-извоз ДООЕЛ Скопје",31.12.2015,144148800
33,ЈП Водовод и канализација - Скопје,реконструкција и замена на водоводни цевки (азбест цементни и поцинковани) од разни профили по проекти,1. ЕНЕРГОМОНТ Скопје; 2. ТРАНС МЕТ ДОО Скопје; 3. ЖИКОЛ ДООЕЛ Струмица; 4. ВАРДАРГРАДБА ДОО с.Трубарево - Скопје; 5. МГИ ИНВЕСТ ЛТД ДОО Скопје,09.10.2015,141600000
34,АД Електрани на Македонија - Скопје,Услуга од помошна механизација на повик за потребите на РЕК Битола,"Друштво за производство,трговија,услуги и транспорт МИС-КОМЕРЦ Митко ДООЕЛ експорт-импорт Скопје",09.02.2015,136880000
35,Министерство за образование и наука,“РЕХАБИЛИТАЦИЈА НА 23 (Дваесет и три) ОСНОВНИ УЧИЛИШТА ВО РЕПУБЛИКА МАКЕДОНИЈА”,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",04.11.2015,136482559
36,ЕВН Македонија АД- Скопје,"Eнергетски кабли со пластична Изолација, Номинален напон U0/U 0,6/1 kV",Друштво за производство трговија и услуги ЕЛЕКТРОЕЛЕМЕНТ Стојмир и други ДОО увоз-извоз Скопје,16.04.2015,130508000
37,Министерство за внатрешни работи на РМ,Mоторен бензин Еуросупер 95,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,15.07.2015,129800000
38,ЈП Водовод и канализација - Скопје,Eлектрична енергија - по спецификација,"Друштво за производство,трговија и услуги МИСТ ЕНЕРЏИ ДООЕЛ Скопје",12.08.2015,129800000
39,Министерство за здравство,Набавка на лекови за лекување на ретки болести,Трговско друштво за внатрешен и надворешен промет ЗЕГИН ДОО Скопје,21.07.2015,120709008
40,НУ Завод и Музеј- Прилеп,"Реализација на Основен проект за конзервација, реставрација и реконструкција на конаците од Манастирот Трескавец Прилеп","PRIVREDNNO DRUSTVO ZA IZGRADNJU,OBNAVLJIVANJE I REKONSTRUKCIJU GRADZEVINSKIH OBJEKATA KOTO DOO BEOGRAS",28.12.2015,119247628
41,Град Скопје,Доградба и реконструкција на фасада на објект на ул.„Димитрие Чуповски“ бр. 2,Трговско друштво ЛСГ БИЛДИНГ СОЛУШНС ДООЕЛ Скопје,21.04.2015,117858367
42,Министерство за здравство,набавка на стоки - нова медицинска опрема за потребите на ЈЗУ ГОБ „8ми Септември“ Скопје и ЈЗУ Специјална болница за ортопедски болести „Св.Еразмо“ Охрид,Друштво за трговија и услуги КУБИС МЕДИКАЛ ДООЕЛ Скопје,14.12.2015,116348000
43,Министерство за здравство,Набавка на лекови за потребите на Јавните здравствени установи во Република Македонија,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",14.08.2015,108063015
44,АД Електрани на Македонија - Скопје,Услуга од Помошна механизација на повик – Телескопски чистачи на транспортни ленти и Автодигалки за потребите на РЕК Битола,"Друштво за производство, трговија и услуги РУБИТОН увоз-извоз ДООЕЛ Битола",02.07.2015,106200000
45,Служба за општи и заеднички работи на Владата на Република Македонија,Изнајмување на патнички моторни возила по пат на оперативен лизинг (деловен закуп),Друштво за промет и услуги ПОРШЕ МАКЕДОНИЈА ДООЕЛ Скопје,09.09.2015,98982931
46,Град Скопје,"Изградба, реконструкција и проширување со улично осветлување на бул. Србија и кружен тек со ул. Христо Татарчев","Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",15.12.2015,98214678
47,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ УКРО,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",12.05.2015,95590278
48,Општина Струмица,"Изведба на улици и уредување на градежно земјиште по програми FA, FD и JD (пробивање, тампонирање и асфалтирање) на општина Струмица","Друштво за производство,услуги и трговија увоз-извоз УНИВЕРЗАЛ ГРАДБА ДООЕЛ Струмица",11.05.2015,95500000
49,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,"Градежни работи за изградба на објект Тоскалар A2, Ламела 1 и Ламела 2 во Гостивар",Друштво за проектирање и градежништво ИМПЕКСЕЛ 2 ДООEЛ увоз-извоз с.Дебреше Гостивар,24.08.2015,93292931
50,Дирекција за технолошки индустриски развојни зони,Изведба на дел(фаза) од внатрешна инфраструктура за ТИРЗ „Прилеп“,"Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",05.03.2015,91393942
51,Министерство за транспорт и врски,"Уредување на 500 метри плажа на преспанско езеро, општина ресен во централно подрачје (населба Стење) и дополнителни 100 метри плажа вон централно подрачје (населба Сливница)","Друштво за производство,инжинеринг,услуги и трговија КОНСТРУКТОР Рената и ДР.ДОО Експорт-Импорт Скопје",13.02.2015,91162256
52,Општина Куманово,Превоз на ученици во основни и средни училишта во Општина Куманово,"Друштво за превоз,производство,трговија и услуги ОЛИ-ТРАВЕЛ ДООЕЛ увоз-извоз Куманово",07.04.2015,84299033
53,Министерство за здравство,Набавка на интраокуларни леќи и друг офтамолошки потрошен материјал за потребите на Јавните здравствени установи во Република Македонија,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,22.10.2015,84060191
54,Министерство за образование и наука,Откуп на учебници за основно и средно образование и дополнителен дадактички и работен материјал за адаптираните учебници од странство за учебната 2015/2016 година.,Друштво за графички услуги и трговија АРС ЛАМИНА ДОО Скопје,10.08.2015,81557491
55,Министерство за здравство,Набавка на интраокуларни леќи и друг офтамолошки потрошен материјал за потребите на Јавните здравствени установи во Република Македонија,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје",19.10.2015,80638132
56,Јавно претпријатие за државни патишта,Банкарски услуги на банка депонент на Јавно Претпријатие за државни патишта во времетраење од две години,ШПАРКАСЕ БАНКА МАКЕДОНИЈА АД Скопје,05.03.2015,80000000
57,Министерство за образование и наука,Откуп на учебници за основно и средно образование и дополнителен дадактички и работен материјал за адаптираните учебници од странство за учебната 2015/2016 година.,"Друштво за продукција,маркетинг,дизајн,промет и услуги АРБЕРИА-ДЕСИГН ДООЕЛ експорт-импорт Тетово",10.08.2015,79973880
58,Град Скопје,"Реконструкција и проширување на ул.„3-та Македонска Бригада, 2-ра Фаза од ул.Васко Карангелески до ул.Никола Карев( од км 1+243,33 до км 2+461.26)",Компанија Ескаватори Урошевац Р.Косово,25.08.2015,76382300
59,Министерство за образование и наука,"Доградба на ПУ “Димитар Поп Георгиев Беровски” населба Хром, општина Ѓорче Петров, Скопје и изграба на ОУ “Невена Георгиева Дуња” општина Кисела Вода, Скопје","Друштво за градежништво, производство, услуги и трговија ИЗГРАДБА-КОМЕРЦ ДООЕЛ експорт-импорт Скопје",16.06.2015,74781317
60,АД Македонска пошта,набавка на електрична енергија,"Друштво за производство,трговија и услуги МИСТ ЕНЕРЏИ ДООЕЛ Скопје",30.09.2015,73549999
61,Министерство за транспорт и врски,"Уредување на 500 метри плажа во населба Лагадин, општина Охрид","Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",15.06.2015,73499958
62,ЈП Македонски шуми п.о - Скопје,Нафта и нафтени деривати,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,11.03.2015,71826600
63,ЈЗУ Клиника за Хематологија,лекови,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",24.08.2015,70106211
64,Општина Тетово,Интервентни санациони-градежни работи на инфраструктурни објекти во Општина Тетово,"Друштво за градежништво,трговија и услуги НБ-ЦОМПАНУ ДОО Тетово",04.06.2015,70000000
65,Министерство за одбрана - сектор за логистика,"Гориво, Погонско, Еуросупер 95 и Еуродизел",Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,17.12.2015,70000000
66,Министерство за здравство,"набавка на idursulfase inf.2mg/1ml, vijala 3 ml, лек за терапија на лица заболени од ретка болест mucopolysaccharidosis – MPS tip ll (мукополисахаридози)",Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,17.02.2015,69982500
67,Министерство за транспорт и врски,"Изградба на централен цевковод за фекална канализација за селата Ложани-Биџево-Ливада-Делогожда-Корошишта и пумпна станица с.Ложани, општина Струга.",Градежно друштво ГРАНИТ АД-Скопје,18.09.2015,68840237
68,Министерство за здравство,"Реконструкција на фасада на Постоечки објект КБ Др. Трифун Пановски, Битола",Производно трговско друштво ДРВО-ПРОМ ДОО с.Мородвис Зрновци,08.10.2015,65401553
69,Министерство за Финансии,Реконструкција и адаптација на објектот на Министерството за финансии во Струмица,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",17.04.2015,64900000
70,ЕВН Македонија АД- Скопје,Oтстапување на работници за вршење привремени работи преку агенција за привремено вработување,Агенција за привремени вработувања АРБЕИТ ДЕ Скопје,28.09.2015,64900000
71,Министерство за внатрешни работи на РМ,Услуги за осигурување на возухоплови и воздухопловно-технички персонал,Акционерско друштво за осигурување ВИНЕР-Виена Иншуренс Груп Скопје,16.01.2015,64900000
72,ЕВН Македонија АД- Скопје,Набавка на нови теренски возила - категорија N1 (товарно),"Трговско друштво за производство и трговија на големо и мало КА-ДИС ДОО извоз-увоз,Скопје",29.12.2015,64591034
73,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1 (еден) нафтен дериват – Еуродизел БС (Д-Е-V) за задолжителните резерви на Република Македонија,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,27.01.2015,64226574
74,Министерство за образование и наука,Откуп на учебници за основно и средно образование и дополнителен дадактички и работен материјал за адаптираните учебници од странство за учебната 2015/2016 година.,Друштво за графички услуги и трговија АРС ЛАМИНА ДОО Скопје,17.08.2015,63808950
75,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Драчевиќ Б 2.2 XIII бригада во Кочани.,Друштво за производство трговија угостителство градежништво и услуги АТРИУМ ДОО увоз-извоз Вевчани С,28.07.2015,63665310
76,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ УКРО,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје",30.09.2015,63243180
77,АД Електрани на Македонија - Скопје,"Изработка на Главен Рударски Проект за отварање, разработка и експлоатација на јагленот од наоѓалиште Живојно со јамска експлоатација",Бањске Пројекти Острава,07.07.2015,62177976
78,Министерство за здравство,набавка на Вакцини за континуирана имунизација и имунизација по епидемиолошки индикации на населението во Република Македонија за 2015 и 2016година,Друштво за промет МАКЕДОНИЈАЛЕК ДООЕЛ Скопје,17.12.2015,61804431
79,АД Електрани на Македонија - Скопје,Специјализирана работна рака за ремонтни активности на котловски постројки за 2015 година за РЕК Битола,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",27.08.2015,61758698
