No.,Institution,Contract,Supplier,Date,Amount
11,Јавно претпријатие за одржување и заштита на магистралните и регионалните патишта - Скопје ц.о.,Набавка на стоки - Битумен 50/70 за производство на асфалт,Трговско друштво за градежништво производство трговија и угостителство ИЛИНДЕН АД Струга,17.07.2019,345309300
12,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Услуга од ископ на јаглен, меѓуслојна и кровинска јаловина во ПЕ Рудници, РЕК Битола","Друштво за производство, трговија и услуги РУД-КОП увоз-извоз ДООЕЛ Битола",05.06.2019,342200000
13,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Ископ на јаглен, меѓуслојна и кровинска јаловина во ПЕ Рудник (РЕК Битола)",Друштво за изведување на рударско градежни работи МАШИНОКОП ДООЕЛ увоз-извоз Кавадарци,28.10.2019,330400000
14,ЕВН Македонија АД- Скопје,UPE-изолирани енергетски кабли Номинален напон Uo/U 12/20 kV и номинален напон U0/U 20/35 kV,Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,16.02.2019,330400000
15,ЈП Колекторски Систем,Cанација за унапредување на ефикасноста на колекторскиот систем Охрид - Струга,Друштво за заштита на животна средина ЕКО - ТЕАМ ДОО Скопје,12.12.2019,306779515
16,Министерство за здравство,Лекови за лекување на ретки болести,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,03.07.2019,294254934
17,Општина Куманово,Модернизација и одржување на системот за јавното осветлување на територијата на Општина Куманово,"ИЦС-СИСТЕМИ Р.Чешка- Подружница во Република Македонија, Охрид",15.07.2019,287652720
18,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Ангажирање на помошна механизација за потребите на рударската оператива во ПЕ Рудници (РЕК Битола),"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",04.12.2019,257440600
19,Дирекција за задолжителни резерви на нафта и нафтени деривати,Делива набавка на Еуродизел БС (Д-Е-V) (Дизел гориво EN 590) во количина до 10.371.000 литри,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,31.07.2019,239166666
20,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Ангажирање на помошна механизација за потребите на рударска оператива во ПЕ Рудници, РЕК Битола"," Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",01.02.2019,214760000
21,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Гумени транспортни ленти со платно за ПЕ Рудници РЕК Битола,"Друштво за посредништво, трговија и услуги МБФ ГЛОБАЛ ДОО Скопје",12.08.2019,211895442
22,Дирекција за задолжителни резерви на нафта и нафтени деривати,Делива набавка на Еуродизел БС (Д-Е-V) (Дизел гориво EN 590) во количина до 21.524.400 литри,"Друштво за производство, промет и услуги СУПЕРТРЕЈД ДООЕЛ увоз-извоз Скопје",11.11.2019,204999999
23,Министерство за здравство,Вакцини за континуирана имунизација и вакцини по епидемиолошки индикации на населението во Република Македонија за период јуни 2018-јуни 2020 година со повеќегодишна јавна набавка,Друштво за производство и промет на хемиски и козметички производи ЕЛБИЈОР ДООЕЛ увоз-извоз Скопје,06.03.2019,204878471
24,М.Ж. ТранспортАД-Скопје,Дизел гориво и нафтени деривати,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",26.12.2019,202606000
25,ЕВН Македонија АД- Скопје,Набавка на PLC броила и дополнителна опрема,ADD Bulgaria OOD,15.07.2019,193667892
26,Министерство за здравство,Вакцини за континуирана имунизација и вакцини по епидемиолошки индикации на населението во Република Македонија за период јуни 2018-јуни 2020 година со повеќегодишна јавна набавка,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",06.03.2019,191552445
27,Министерство за здравство,Вакцини за континуирана имунизација и вакцини по епидемиолошки индикации на населението во Република Македонија за период јуни 2018-јуни 2020 година со повеќегодишна јавна набавка,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,06.03.2019,190076250
28,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Услуга од специјализирана работна рака за ремонтни активности во ПЕ Термоелектрани, РЕК Битола за 2019 година","Друштво за проектирање, производство и монтажа на челични конструкции и опрема, увоз-извоз ФАКОМ АД - Скопје",30.04.2019,184424560
29,Јавно претпријатие за одржување и заштита на магистралните и регионалните патишта - Скопје ц.о.,Набавка на стоки -индустриска сол за зимско одржување на патишта-рефус,"Друштво за трговија,производство и услуги ДИМАКС РУДНИЦИ ДООЕЛ Сопотница, Демир Хисар",15.08.2019,172264365
30,Дирекција за задолжителни резерви на нафта и нафтени деривати,Делива набавка на Еуродизел БС (Д-Е-V) (Дизел гориво EN 590) во количина до 10.371.000 литри,"Друштво за производство, промет и услуги СУПЕРТРЕЈД ДООЕЛ увоз-извоз Скопје",31.07.2019,170833333
31,Агенција за финансиска поддршка во земјоделството и руралниот развој,Набавка на гориво за земјоделска механизација,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,15.07.2019,169491525
32,Министерство за образование и наука,"Услуги за преведување, лектура, стручна редакција, графичко, техничко уредување, печатење и дистрибуција на учебници за основно и средно образование.",Трговско друштво за вработување на инвалидни лица за печатење на весници - Печатница ДООЕЛ Европа 92 Кочани,05.12.2019,157500000
33,ЕВН Македонија АД- Скопје,"Набавка на Eнергетски кабли со пластична изолација Номинален напон U0/U 0,6/1 kV",Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,18.10.2019,157410127
34,Министерство за здравство,Набавка на лек Nusinersen за пациенти со спинална мускулна атрофија (СМА),Друштво за трговија и услуги ЕУРО - ФАРМ увоз-извоз ДООЕЛ Битола,04.11.2019,154978866
35,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Ангажирање на помошна механизација за потребите на рударската оператива во ПЕ Рудници (РЕК Битола),"Друштво за производство,трговија,услуги и транспорт МИС-КОМЕРЦ Митко ДООЕЛ експорт-импорт Скопје",04.12.2019,151748000
36,Министерство за транспорт и врски,"Изградба на дел од фекална канализација за Индустриска зона Визбегово, општина Бутел",Трговско друштво за производство проектирање и инженеринг ВАРДАРГРАДБА ДОО с.Трубарево - Скопје,17.12.2019,147262161
37,АД МЕПСО,Набавка на нов 400/110 kV трансформатор,Kolektor Etra,15.10.2019,147169500
38,ЕВН Македонија АД- Скопје,UPE-изолирани енергетски кабли Номинален напон Uo/U 12/20 kV и номинален напон U0/U 20/35 kV,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,15.02.2019,141600000
39,Јавно претпријатие за државни патишта,Електрична енергија во времетраење од две години,Друштво за трговија и услуги ЕНЕРЏИ ДЕЛИВЕРИ СОЛУШНС ЕДС ДООЕЛ Скопје,03.05.2019,141600000
40,ЈП Водовод и канализација - Скопје,Набавка на електрична енергија – по спецификација,Друштво за трговија и услуги ЕНЕРЏИ ДЕЛИВЕРИ СОЛУШНС ЕДС ДООЕЛ Скопје,20.06.2019,141600000
41,Јавно претпријатие за државни патишта,Докомплетирање на проектна документација за автопат Кичево - Охрид,Градежен институт МАКЕДОНИЈА АД-Скопје,04.09.2019,141149240
42,Јавно сообраќајно претпријатие СКОПЈЕ,"Обезбедување на комуникациска инфраструктура и loud платформа, функционална и оперативна надградба, опрема и делови за потреби на имплементираниот систем за контрола и управување на јавниот градски транспорт и електронска наплата на билети во возилата на ЈСП Скопје за период од 24 месеци",Македонски Телеком Акционерско друштво за електронски комуникации - Скопје,01.07.2019,138058873
43,Јавно претпријатие за железничка инфраструктура Железници на Република Северна Македонија - Скопје,Дрезини,Teknik Raylı Sistemler Peyzaj İnşaat Mühendislik Sanayi ve Ticaret Limited Şirketi,06.08.2019,128523087
44,Општина Тетово,Чистење и депонирање на комуналниот отпад на локалитет с.Фалиште,"ДРИСЛА – СКОПЈЕ ДОО Батинци, Студеничани",26.02.2019,117264546
45,ЈП Комунална хигиена Скопје,Ангажирање на агенција за привремени вработувања,Приватна агенција за вработување МОТИВИ Скопје,06.08.2019,116230000
46,Министерство за транспорт и врски,"Изградба на водоводна мрежа за делот од Индустриска зона Визбегово, општина Бутел",Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,08.04.2019,114312552
47,ЕВН Македонија АД- Скопје,Набавка на услуга за обезбедување,Друштво за обезбедување на лица и имот НИКОБ ДОО експорт-импорт Скопје,09.01.2019,109083920
48,Министерство за образование и наука,Откуп на учебници и придружен дидактички и работен материјал за основно образование за учебната 2019/2020 година (дел 6),Друштво за графички услуги и трговија АРС ЛАМИНА ДОО Скопје,16.08.2019,107068720
49,Министерство за транспорт и врски,"Изградба на примарна фекална канализација за населено место Арачиново, општина Арачиново",Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмиц,10.12.2019,104974253
50,Министерство за здравство,Лекови за лекување на ретки болести,"Друштво за трговија, застапништво и маркетинг ЦАРСО ИНТЕРНАЦИОНАЛ ДООЕЛ Илинден",24.09.2019,102664800
51,ЕВН Македонија АД- Скопје,Склучување на рамковни спогодби за земјено-градежни и електромонтажни работи за корисничко-енергетски центри на ЕВН Македонија АД Скопје,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,03.04.2019,102002188
52,ЕВН Македонија АД- Скопје,Набавка на Трифазни маслени дистрибутивни трансформатори од 50-1600 кВА,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,26.03.2019,101586170
53,ЕВН Македонија АД- Скопје,Набавка на Трифазни маслени дистрибутивни трансформатори од 50-1600 кВА,Kimtech Bulgaria Ltd.,25.03.2019,98179953
54,"Министерство за правда, Управа за извршување на санкциите","Изведба на градежно-занатски работи во КПД Идризово, Општина Гази Баба, Скопје",Трговско друштво за производство трговија и услуги ИНСТАЛАЦИЈА увоз-извоз Исмаил ДООЕЛ с. Д. Дол Зајас,14.10.2019,97920884
55,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Замена на предтурбински пеперуткасти затворачи на турбина А и Б во ХЕЦ Тиквеш, турбина А и Б во ХЕЦ Глобочица и турбина 1, 2 и 3 во ХЕЦ Шпиље",Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,10.06.2019,96607048
56,ЕВН Македонија АД- Скопје,Склучување на рамковни спогодби за земјено-градежни и електромонтажни работи за корисничко-енергетски центри на ЕВН Македонија АД Скопје,Друштво за градежништво трговија и услуги АДРА ДООЕЛ увоз-извоз Скопје,03.04.2019,93767423
57,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Услуга од специјализирана работна рака за ремонтни активности во ПЕ Термоелектрани, РЕК Битола за 2019 година","Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",30.04.2019,93338000
58,Јавно претпријатие за државни патишта,Банкарски услуги во времетраење од три години,ХАЛК БАНКА АД Скопје,31.07.2019,90000000
59,Министерство за транспорт и врски,"Измена на Договор за изградба на пречистителна станица за вода за пиење за регионален водоснабдителен систем Липково, резервоар за н.м.Липково и довод до постоечка мрежа на н.м. Липково, општина Липково (ј.н. 7/2018)",Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,28.06.2019,89808850
60,Министерство за образование и наука,Откуп на учебници и придружен дидактички и работен материјал за основно обрзование за учебната 2019/2020 година (дел 5),"Друштво за продукција,маркетинг,дизајн,промет и услуги АРБЕРИА-ДЕСИГН ДООЕЛ експорт-импорт Тетово",16.08.2019,85005631
61,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Ископ на јаловина во микролокација 6 РЕК Битола,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",07.03.2019,82600000
62,Министерство за внатрешни работи на РМ,Екстра лесно 1 (ЕЛ-1) гориво,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",27.02.2019,82600000
63,Јавно претпријатие за државни патишта,"Изградба на државен пат Р1402, делница Старо Коњарево - Ново Коњарево.",Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,04.01.2019,82587508
64,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Блок 1 Урбана 3аедница 3 ГП 1.15 во Неготино,"Друштво за градежништво, производство, трговија, угостителство и услуги ВИА ИНЖИНЕРИНГ ДОО увоз-извоз Цветомир Вевчани",27.06.2019,82553462
65,Град Скопје,"Реконструкција, одржување на бул. “Никола Карев“ (четврта лента)","Друштво за градежништво, транспорт, трговија и услуги ЈУ-БАЈ 2 Амет ДООЕЛ с.Бојане Скопје",05.12.2019,74306818
66,Агенција за храна и ветеринарство,Лабораториски услуги за здравствена заштита на животните од заразни болести.,Факултет за ветеринарна медицина - Скопје,24.04.2019,74031946
67,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Светли деривати за сопствени бензиски пумпи за РЕК Битола,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",08.05.2019,73453756
68,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Укро,Трговско друштво за внатрешен и надворешен промет ЗЕГИН ДОО Скопје,24.06.2019,72878264
69,ЈПКД Комуналец - Струмица,Услуги за подигање на смет,"Друштво за производство,трговија и услуги ДАСМАК ДООЕЛ увоз-извоз Струмица",25.11.2019,72174060
70,Јавно претпријатие за државни патишта,"Чистење на канавки, риголи, пропусти, берми и кресање на банкини во времетраење од две години","Друштво за трговија,сообраќај и услуги МИРСАТ КОМЕРЦ увоз-извоз Зеќир Зеќироски с.Челопеци Кичево",10.07.2019,70800000
71,Јавно претпријатие за државни патишта,"Косење на трева, плевел грмушки, кастрење на гранки и сечење на два во патен појас, чистење и собрирање смет во времетраење од две години","Трговско друштво за еколошки, комунални и други услуги ЕКО КЛУБ ДООЕЛ Битола",16.08.2019,70800000
72,Министерство за образование и наука,Изведба на рехабилитација на основни и средни училишта,Трговско друштво за производство трговија и услуги ИНСТАЛАЦИЈА увоз-извоз Исмаил ДООЕЛ с. Д. Дол Зајас,26.06.2019,69728253
73,Јавно претпријатие за државни патишта,"Осветлување на раскрсници, клучки, тунели и мостови на државните патишта.","Друштво за градежно занаетчиски работи,трговија и услуги ДИГИТАЛ ДООEЛ Струмица",08.04.2019,69722746
74,Град Скопје,"Реконструкција, одржување на бул. „Партизански одреди“ од бул. „8-ми Септември“ до мост Обединети нации (фазна реализација)","Друштво за градежништво, транспорт, трговија и услуги ЈУ-БАЈ 2 Амет ДООЕЛ с.Бојане Скопје",31.05.2019,68704285
75,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Плачковички одреди Л1 во Виница,"Друштво за производство,трговија градежништво и услуги ДЕКОН-КОМ ДООЕЛ увоз-извоз Скопје",20.12.2019,68524611
76,ЕВН Македонија АД- Скопје,"Набавка на Eнергетски кабли со пластична изолација Номинален напон U0/U 0,6/1 kV","Друштво за производство,трговија и услуги ЕУРО ВИЗИФ увоз-извоз ДООЕЛ Скопје",18.10.2019,67597480
77,ЈП Комунална хигиена Скопје,Горива,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",11.11.2019,66657297
78,ЕВН Македонија АД- Скопје,Склучување на рамковни спогодби за земјено-градежни и електромонтажни работи за корисничко-енергетски центри на ЕВН Македонија АД Скопје,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,03.04.2019,66346760
79,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, Град Скопјево државна сопственост, Скопје",Осигурителни услуги,Акционерско друштво за осигурување и реосигурување МАКЕДОНИЈА Скопје - Виена Иншуренс Груп,19.02.2019,66000000
80,Град Скопје,Ангажирање на специјални возила со соларка и плуг за зимско одржување на сообраќајници на територија на Град Скопје и набавка на индустриска сол за одржување на улици во зимски услови,Друштво за производство трговија и услуги АПОЛО ИНЖЕНЕРИНГ ДООЕЛ експорт-импорт Скопје,18.09.2019,64900000
81,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Ангажирање на помошна механизација за потребите на рударската оператива во ПЕ Рудници (РЕК Битола),"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",04.12.2019,64900000
82,Општина Штип,"Екстра лесно масло за домаќинство – 1 (ЕЛ-1), за потребите на зградата на ЕЛС, основните општински училишта, средните општински училишта и општинските детски градинки во Општина Штип","Друштво за производство,трговија и услуги ТРИТЕРОЛ ПЕТРОЛ ДООЕЛ Скопје",26.06.2019,64006740
83,Министерство за образование и наука,"Услуги за преведување, лектура, стручна редакција, графичко, техничко уредување, печатење и дистрибуција на учебници за основно и средно образование.","Друштво за градежништво, производство, трговија, угостителство и услуги ВИА ИНЖИНЕРИНГ ДОО увоз-извоз Цветомир Вевчани",05.12.2019,63000000
84,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,"Градежни работи за изградба на објект Блок 7.5 ГП 1.45 (стара ознака Блок К1, УЕ 27) на ул. „Христијан Тодоровски Карпош“ во Пробиштип",Друштво за градежништво БЕТОН Акционерско друштво Скопје,27.05.2019,62927514
85,Јавно претпријатие за државни патишта,Градежно санациски работи на мост бр.1 р. Лакавица на Р1103.,Друштво за внатрешен и надворешен промет АУТОМАКЕДОНИЈА АД Скопје,22.07.2019,62318815
86,ЈП за ПУП - Прилеп,Набавка на нови нископодни автобуси,De La Rue International Limited,17.06.2019,60000168
