No.,Institution,Contract,Supplier,Date,Amount
38,АД Електрани на Македонија - Скопје,"Геолошки и геотехнички доистражувања на јагленово лежиште, ″Мариово во се според техничка спецификација",Градежен Институт Македонија,09.06.2009,95317100
39,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,ЛЕКОВИ ЗА ПОТРЕБИТЕ НА ЈЗУ УКРО ЗА 2009-2010,АЛКАЛОИД КОНС,21.07.2009,93969205
40,Општина Центар,Изградба на пешачки мост на реката Вардар,Конструктор Инженеринг АД,03.09.2009,92546647
41,БОРИС ТРАЈКОВСКИ ДООЕЛ Скопје,Опремување на придружни простории и делови што се наогаат во комплексот на Повекенаменска сала БОРИС ТРАЈКОВСКИ во Скопје,"Друштво за производство,трговија и градежни услуги ДЕЛТА ПРОМ ДООЕЛ Велес",04.08.2009,89766563
42,Министерство за здравство,набавка на вакцини за континуирана имунизација и имунизација по епидемиолошки индикации на населението во Република Македонија за 2009 година,"ДППХКП ""Елбијор"", ДООЕЛ",07.07.2099,89404620
43,Дирекција за технолошки индустриски развојни зони,Изведба на сервисни улици и други пропратни објекти во ТИРЗ “Скопје 1„,TДГ МАВРОВОИНЖЕНЕРИНГ ДОО Скопје,01.09.2009,84525472
44,Министерство за надворешни работи на Република Македонија,НАБАВКА НА ПАТНИЧКИ МОТОРНИ ВОЗИЛА ЗА ПОТРЕБИТЕ НА ДИПЛОМАТСКО - КОНЗУЛАРНИТЕ ПРЕТСТАВНИШТВА НА РЕПУБЛИКА МАКЕДОНИЈА ВО СТРАНСТВО,ПОРШЕ МАКЕДОНИЈА,16.04.2009,84525472
45,Министерство за надворешни работи на Република Македонија,НАБАВКА НА ПАТНИЧКИ МОТОРНИ ВОЗИЛА ЗА ПОТРЕБИТЕ НА ДИПЛОМАТСКО - КОНЗУЛАРНИТЕ ПРЕТСТАВНИШТВА НА РЕПУБЛИКА МАКЕДОНИЈА ВО СТРАНСТВО,ПОРШЕ МАКЕДОНИЈА,16.04.2009,84525472
46,Министерство за надворешни работи на Република Македонија,НАБАВКА НА ПАТНИЧКИ МОТОРНИ ВОЗИЛА ЗА ПОТРЕБИТЕ НА ДИПЛОМАТСКО - КОНЗУЛАРНИТЕ ПРЕТСТАВНИШТВА НА РЕПУБЛИКА МАКЕДОНИЈА ВО СТРАНСТВО,ПОРШЕ МАКЕДОНИЈА,16.04.2009,80000000
47,АД Електрани на Македонија - Скопје,"АНГАЖИРАЊЕ НА РАБОТНА РАКА ПО ПОВИК, ЗА СКЛУЧУВАЊЕ НА ДОГОВОР ВО ТРАЕЊЕ ОД ЕДНА ГОДИНА",Инсталација,29.06.2009,80000000
48,АД Електрани на Македонија - Скопје,"АНГАЖИРАЊЕ НА РАБОТНА РАКА ПО ПОВИК, ЗА СКЛУЧУВАЊЕ НА ДОГОВОР ВО ТРАЕЊЕ ОД ЕДНА ГОДИНА",Старт Ас 2000,29.06.2009,80000000
49,АД Електрани на Македонија - Скопје,"АНГАЖИРАЊЕ НА РАБОТНА РАКА ПО ПОВИК, ЗА СКЛУЧУВАЊЕ НА ДОГОВОР ВО ТРАЕЊЕ ОД ЕДНА ГОДИНА",Тајмиште,29.06.2009,78195000
50,Топлификација АД Скопје,"19 500 тони масло за горење - мазут, Тип М-1 НС со максимална содржина на сулфур од 1%, согласно Македонскиот стандард за течни горива МКС Б.Х2.430",ОКТА АД Скопје,03.12.2009,76392098
51,Агенција за државни патишта,"Изградба на Атмосферска канализација, нов мост и пропуст на р.Грашница, санација на постоечки мост и пропуст, поставување на сигнализација и осветлување на транзитен булевар на М-5, (ул.Железничка)",ИЛИНДЕН АД - Струга,19.11.2009,76392098
52,Општина Центар,Изработка на скулптура на Јустиниан I во бел мермер и релјефи во бронза,Галерија Пиедро Баззанти и Филио С.А.С,10.07.2009,75640000
53,ЕВН Македонија АД- Скопје,Ангажман на лица за изведување на услуги за обезбедување за потребите на ЕВН Македонија АД Скопје,Кота Секјурити дооел - Скопје,26.10.2009,70800000
54,Општина Неготино,"Изведба на работи-земјени, бетонски, зидарски и асфалтерски",1. УНИВЕРЗАЛ ГРАДБА Неготино; 2. ГРАНИТ АД Скопје; 3. ГРАДБА ПРОМЕТ Кавадарци;,02.12.2009,70800000
55,ЕВН Македонија АД- Скопје,Ангажман на лица за изведување на електромонтерски и инжинерски услуги за потребите на ЕВН Македонија АД Скопје,СМС компани дооел Скопје,01.12.2009,70800000
56,ЕВН Македонија АД- Скопје,Дистрибутивни трансформатори со проводни изолатори,Сименс Трансформатори КФТ,28.07.2009,70216339
57,Општина Центар,"Изградба, реконструкција, санација и тековно-инвестиционо одржување на градежни објекти на јавни површини на територија на Општина Центар","1. Тера Трејд ДООЕЛ, Скопје; 2. Торус Инженеринг ДООЕЛ, Скопје; 3. Изградба Комерц ДООЕЛ, Скопје; 4. Беграмо Инженеринг ДОО, Скопје; 5. Бауер БГ ДОО, Скопје",31.12.2009,70000000
58,МЈП ПРОАКВА,Ископ на земја и други земјени и хидроградежни работи,“ИВА ИНЖИНЕРИНГ“,27.08.2009,69996851
59,Министерство за внатрешни работи на РМ,Осигурување на хеликоптери на МВР,АД за осигурување Вардар,27.10.2009,68488292
60,Агенција за државни патишта,"Изработка на инвестиционо техничка документација за автопатско решение на Магистрален пат М-5, делница: Гр. со Р.Бугарија (Црна Скала) – Делчево – Кочани – Штип – Велес (Отовица)",DIWI Consult International GmbH – Есен (Германија),04.12.2009,65684700
61,ЈЗУ ИНСТИТУТ ЗА ТРАНСФУЗИОНА МЕДИЦИНА НА РЕПУБЛИКА МАКЕДОНИЈА СКОПЈЕ,Фактори на коагулација,АЛКАЛОИД КОНС ДООЕЛ СКОПЈЕ,13.10.2009,63472500
62,Општина Центар,Изработка на групна скулптура на Основачите на Македонската Револуционерна Организација во бронза,Fonderia Artistika F.Marineli,27.10.2009,62220000
63,Дирекција за технолошки индустриски развојни зони,"Анекс бр.1 за Изведба на дополнителни и непредвидени работи при изградба на инфраструктурна мрежа ( водоснабдување и ПП заштита, фекална и атмосферска канализација) во ТИРЗ Скопје-Бунарџик",ГД Гранит АД Скопје,16.11.2009,61900000
64,Министерство за образование и наука,Изградба на ново основно училиште во Општина Вевчани,Гранит АД,02.09.2009,60132887
