No.,Institution,Contract,Supplier,Date,Amount
74,"Министерство за земјоделство, шумарство и водостопанство",Рeхабилитација и санација на дел од групниот канал GK-18 за наводнување на површини во ХМС “БРЕГАЛНИЦА,"Друштво за производство,градежништво,трговија и услуги ПЕСКАРА-ВЕЛ ДООЕЛ експорт-импорт Велес",19.02.2016,79077839
75,Министерство за животна средина и просторно планирање,Изградба на фекална канализација со пречистителна станица за населено место Трпејца-Охрид,"Фабрика КАРПОШ-Акционерско друштво за проектирање,производство и монтажа на бетонски префабрикати,станови,индустриски објекти,мостови и далноводи Скопје",16.11.2016,78356513
76,АД Електрани на Македонија - Скопје,Светли деривати за сопствени бензиски пумпи на подружници на АД ЕЛЕМ (Еуро дизел БС Д-Е V и Еуро супер БС 95),"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Пласница Пласница",25.02.2016,76448424
77,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на станбено деловен објект 3.9 Реонски центар Аеродром во Скопје.,"Друштво за производство,трговија градежништво и услуги ДЕКОН-КОМ ДООЕЛ увоз-извоз Скопје",19.05.2016,75114158
78,ЕВН Македонија АД- Скопје,Броила со вграден ГСМ модем и прекинувач,Elster GmbH,18.10.2016,74311680
79,ЕВН Македонија АД- Скопје,"Набавка и испорака на системи за блокада и контрола на пристап за потребите на ЕВН Македонија АД, Скопје","Друштво за производство,трговија и услуги КОДКИ МАКЕДОНИЈА ДОО Скопје",18.10.2016,71390000
80,Јавно претпријатие за државни патишта,Надзор на одржување на државни патишта во времетраење од три години.,Градежен институт МАКЕДОНИЈА АД-Скопје,13.12.2016,70800000
81,ЈЗУ Клиника за Хематологија,Набавка на лекови,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",24.08.2016,70570282
82,Град Скопје,"Реконструкција на фасади на постојни објекти во централно градско подрачје на Градот Скопје на ул.“Македонија“ бр.6, 13, 32, 35, 40 и 47","Друштво за градежништво,производство и инженеринг увоз-извоз ПЕЛАГОНИЈА АД Гостивар",27.07.2016,70475222
83,ЈП Македонијапат - Скопје,Индустриска сол за зимско одржување на патишта-рефус,"Друштво за промет на големо и мало,застапување,посредување и реекспорт КИ-ЕМ ДООЕЛ експорт-импорт Скопје",07.11.2016,67649400
84,Министерство за внатрешни работи на РМ,Регистарски таблици на моторни и приклучни возила и пробни таблици за моторни и приклучни возила и Регистарски таблици на Полицијата,Друштво со ограничена одговорност РАДЕ КОНЧАР-КОНТАКТОРИ И РЕЛЕИ-Скопје,14.12.2016,67549831
85,Служба за општи и заеднички работи на Владата на Република Македонија,"Набавка, монтажа и ставање во функција на аудио-видео опрема за прес-центар и сали за состаноци во објектот на Владата на Република Македонија",Македонски Телеком Акционерско друштво за електронски комуникации - Скопје,22.03.2016,64338067
86,ЈП Водовод и канализација - Скопје,Непредвидени работи потребни за доизградба на изведување на градежни и градежно занаетчиски работи за доизградба и довршување на сите фази на управна зграда на ЈП Водовод и канализација Скопје,"Друштво за градежништво, посредување, трговија и услуги АЛДИНГ-ИНЖИНЕРИНГ ДООЕЛ Скопје",23.11.2016,64059350
87,Дирекција за технолошки индустриски развојни зони,Изградба на дел од систем за водоснабдување на ТИРЗ Прилеп,"Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",01.07.2016,63080470
88,ЕВН Македонија АД- Скопје,Дрвени столбови,"Трговско друштво за сообраќај, внатрешен и надворешен промет КВАНТУМ ДОО Скопје",20.01.2016,62540000
89,Национална Установа Македонска Опера и Балет,Реновирање на салонот во Македонската опера и балет,"Друштво за производство, промет, проектирање, монтажа и инсталирање, инжењеринг ПРОМОНТИНГ ДООЕЛ Скопје",03.06.2016,61971240
