No.,Institution,Contract,Supplier,Date,Amount
11,Министерство за образование и наука,"подготовка, превод, печатење и дистрибуција на учебници за основно образование и за средно образование",Графички центар,21.06.2011,300000000
12,Министерство за транспорт и врски,"Надградба и реконструкција на објект – Управна зграда на Министерство за транспорт и врски во Скопје, локација: Центар – Мал Ринг, КП 9513 КО Центар 1",ДГ „БЕТОН“ АД,18.10.2011,298679947
13,М.Ж. Транспорт АД-Скопје,Нафта и нафтени деривати,ПУЦКО ПЕТРОЛ,06.09.2011,281713525
14,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ УКРО за 2011-2012,АЛКАЛОИД КОНС,29.07.2011,254054907
15,"ДРИСЛА – СКОПЈЕ ДОО Батинци, Студеничани",ПРОЕКТИРАЊЕ И ИЗГРАДБА НА ИНСТАЛАЦИЈА ЗА ОСИГУРУВАЊЕ НА МЕДИЦИНСКИ И ДРУГ ВИД ОПАСЕН ОТПАД,"КОНЗОРЦИУМ : ЕКОТЕЦХ МК дооел – Скопје; ЧАКАР&ПАРТНЕРС доо – Скопје ул.“Народен фронт” бр. 5/4-9; СКАНДИУЦИ а.д. – Волпаго дел Монтело Тревизо, ИТАЛИЈА ул. “Пиаве” бр. 14",28.12.2011,250047192
16,АД Електрани на Македонија - Скопје,Консултански услуги за Проектот Бошков Мост,Consortium Stucky-AF Consult,10.11.2011,248314583
17,ЕВН Македонија АД- Скопје,"Набавка на 20/0,4 kV/kV Бетонски компактни трафостаници",Павел и синови електрик ООД,25.11.2011,247800000
18,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ УКРО за 2011-2012,ПРОМЕДИКА,29.07.2011,223321581
19,АД Електрани на Македонија - Скопје,Изведба на експлоатациони бунари во ПК ПЈС,Градежен Институт Македонија,09.08.2011,181703834
20,Министерство за транспорт и врски,Набавка на 15 новопроизведени нископодни двокатни автобуси од отворен тип за панорамско рагледување,Zheng Zhou Yutong Group Co.LTD,25.07.2011,179489198
21,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на нафтени деривати за задолжителните резерви на Република Македонија,Рафинерија на нафта ОКТА АД Скопје,18.04.2011,168845938
22,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Набавка на МАЗУТ М-1 НС,Рафинерија на нафта ОКТА АД Скопје,29.12.2011,165200000
23,Општина Центар,"Испорака на монтажно-демонтажна конструкција за паркирање на патнички автомобили, изработка на главен, изведбен проект и ревизија и поставување на монтажниот објект за јавно паркирање на патнички автомобили на територија на Општина Центар",ДФТ Масон Инженеринг ДООЕЛ,13.06.2011,161312155
24,"Министерство за правда, Управа за извршување на санкциите",изградба на објекти во комплексот на Затвор Кумановo (село К’шање),"ДГТ ,,Жикол,, ДООЕЛ Струмица",25.05.2011,156533555
25,Општина Куманово,Изградба на затворен спортски базен во Општина Куманово.,ДГ „Д.С. ГАЛАБ“ ДООЕЛ Скопје,10.11.2011,155736784
26,Општина Чаир,"Изградба на објект Плоштад ,,Скендер Бег,, - прва фаза","ИНТЕРНЕШЕНЕЛ ИНВЕСТМЕНТ ГРУП Друштво за градежништво, трговија и услуги ДОО Скопје;",29.11.2011,153015662
27,АД Електрани на Македонија - Скопје,"Нови , оригинални резервни делови за рударски машини од производниот програм на Такраф – Германија, за потребите на РЕК Битола и РЕК Осломеј",АД Технометал Вардар,27.01.2011,148727366
28,Служба за општи и заеднички работи на Владата на Република Македонија,"Eнтериерно уредување на објектот за државни институции - Уставен суд на Република Македонија, Државен архив и археолошки музеј",Градежно друштво ГРАНИТ АД - Скопје,14.07.2011,143711585
29,Општина Центар,Изградба на пешачки мост на река Вардар,ДГ Бетон АД,08.06.2011,142628960
30,Министерство за култура,"Изведување на завршни работи, изведба на сценографски елементи и ентериерна обработка за објект Музејски комплекс на Македонската борба, Музеј на ВМРО и Музеј на жртвите на комунизмот",ДПТ „ДЕСИГН ФАНТАСИ“ ДООЕЛ,01.04.2011,141741600
31,Општина Аеродром,"Избор на фирма со потребната лиценца, според Закон за градење-лиценца Б за изведувач, за изведба на фекална канализација во населба Горно Лисиче",ДГТ Жикол ДООЕЛ Струмица,01.08.2011,140302000
32,ЈЗУ Клиника за Хематологија,Набавка на лекови,ДТПУ Промедика ДОО Скопје,01.08.2011,138328017
33,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на дополнителни и непредвидени градежни работи,Градежно друштво ГРАНИТ АД - Скопје,10.02.2011,136343599
34,Служба за општи и заеднички работи на Владата на Република Македонија,"Изведување на дополнителни и непредвидени работи за изградба на административниот објект за Уставен суд на Република Македонија, Државен архив на Република Македонија и Археолошки музеј",Градежно друштво ГРАНИТ АД - Скопје,05.08.2011,135409760
35,Министерство за здравство,набавка за изведување на градежни и градежно – занаетчиски работи на објект за дијагностички центар за потребите на ЈЗУ Клиничка болница – Тетово.,"""АК ИНВЕСТ"" ДООЕЛ",21.04.2011,134948532
36,ЈП Водовод и канализација - Скопје,"Изведување на градежни и градежно-занаетчиски работи за изградба на управна зграда на ЈП Водовод и канализација Скопје, според Изведбен проект со сите фази",АЛПИНЕ БАУ ГМБХ Австрија преку подружница Скопје,31.05.2011,133822420
37,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Блок 3.8 објект 20 во Скопје.,Друштво за проектирање и градежништво ИМПЕКСЕЛ 2 ДООЕЛ увоз-извоз с.Дебреше Гостивар,22.11.2011,133336967
38,Министерство за образование и наука,Изградба на ново основно училиште во Реонски центар Аеродром,Бетон,18.05.2011,129998953
39,ЈП Водовод и канализација - Скопје,Фекален колектор и мрежа Лисиче - по предмер за земјани работи,"Алипне Бау Гмбх Салзбург/Валс Австрија,подружница Скопје",19.05.2011,129782125
40,Град Скопје,Санација и реконструкција на улици,"1. „Баг Коп“ Дооел, с. Мала Речица Тетово; 2. „Бауер БГ“ Дооел, Скопје; 3. „Жикол“ Дооел, Струмица; 4. „Пелагонија“ АД, Гостивар; 5. „Хуљуси Комерц“ Дооел, Куманово",30.03.2011,127000000
41,Министерство за животна средина и просторно планирање,"""Проектирање и изградба на филтерска станица на системот за водоснабдување во Гостивар"".","Трговско Друштво за еколошко советување, инженеринг и застапување ЦМЦ ЕКОКОН ДОО",30.05.2011,122997300
42,Јавно претпријатие за стопанисување со станбен и деловен простор на Република Македонија,Градежни работи за изградба на објект катна гаража 5.13 Мал ринг во Скопје – машински дел,"Друштво за електроника, автоматика и информатика ""Електро Софт"" Љупчо ДООЕЛ Скопје",02.09.2011,122959053
43,ЈП Македонски шуми п.о - Скопје,Нафта и нафтени деривати,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,16.12.2011,118000000
44,Министерство за здравство,Набавка на медицинска опрема два ангиографи за потребите на Универзитетска клиника за Кардиологија - Скопје и Клиничка болница - Штип.,ШИМАТСУ ДОО,03.06.2011,115382548
45,Министерство за култура,„Изведување на машински инсталации за објект Стар театар во Скопје“,Страбаг АГ,01.07.2011,112533685
46,Општина Карпош,Изградаба и реконструкција на улици и патишта на територија на Општина Карпош,1. АПОЛО ИНЖЕНЕРИНГ ДОО; 2. ДГТУ ДА БО КОМПАНИ Светозар ДООЕЛ; 3. ДППУ САНДРА ИНЖЕНЕРИНГ ДООЕЛ; 4. ДИПМПТ КОДИНГ ДООЕЛ; 5. ДГТТ ТРАНС МЕТ ДОО,24.03.2011,110000000
47,Служба за општи и заеднички работи на Владата на Република Македонија,"Изведување на декоративни елементи на фасадата (скулптури, рељефи и останати орнаменти) на новиот објект на Министерството за надворешни работи",Друштво за градежништво БЕТОН АД,18.07.2011,108854070
48,Министерство за култура,"Набавка на занаетчиско ентериерни работи, мебел, опрема и осветлување за објект „Театар Велес“ во Велес",ДПТГУ ДЕЛТА-ПРОМ ДООЕЛ увоз-извоз,20.05.2011,108722462
49,Општина Центар,Изведување на градежни и градежно-занаетчиски работи за изградба на спомен обележје на Паднатите Херои за Македонија,ДГ Бетон АД,06.06.2011,108453983
50,АД Електрани на Македонија - Скопје,Набавка на нови нерепарирани резервни делови за РЕК Битола и РЕК Осломеј,МЗТ-Инжинеринг,05.09.2011,106751822
51,ЈП Комунална хигиена Скопје,Ангажирање на агенција за привремени вработувања,АПВ Мотиви,28.06.2011,106200000
52,ЈЗУ Градска општа болница „8-ми Септември“ Скопје,Изведување на градежни и градежно – занаетчиски работи на објект за центар за хемодијализа,„ДОТ АРХИТЕКТИ“ ДООЕЛ СКОПЈЕ,26.08.2011,98405917
53,Општина Илинден,Изградба на објект за модуларно училиште на територија на Општина Илинден,",,ТРИМО МАКЕДОНИЈА,,Дооел Скопје",22.08.2011,97000000
54,Град Скопје,Изградба на мост на река Вардар и сообраќајница помеѓу Сарај и Ѓорче Петров,"ГД „ГРАНИТ“ АД, Скопје",31.05.2011,96790104
55,ЈП Комунална хигиена Скопје,Лични заштитни средства,Јосиба Протект ДООЕЛ Скопје,06.05.2011,92279007
56,Агенција за државни патишта,"Дополнителни работи за Изградба на регионален пат К1-Р-104 врска со Р-104, Коломот - мост с.Близанско",ДГ БЕТОН АД - Скопје,16.09.2011,89087304
57,АД Електрани на Македонија - Скопје,Ангажирање на изведувач за извршување на работи со ангажирање на работна рака,1. Старт ас - с. Поповјани Осломеј; 2. Инсталација - Кичево; 3. Метална Тајмиште - Кичево,30.06.2011,85000000
58,АД Електрани на Македонија - Скопје,Ангажирање на изведувач за извршување на работи со ангажирање на работна рака,1. Инсталација - Кичево; 2. Старт ас - с. Поповјани Осломеј; 3. Метална Тајмиште - Кичево,30.06.2011,85000000
59,ЕВН Македонија АД- Скопје,Рамковен договор за набавка на гориво,Макпетрол АД - Скопје,15.11.2011,83662000
60,Град Скопје,Реконструкција на ул. Метрополит Т. Гологанов,"„Бауер БГ“-Доо, Скопје",12.05.2011,83462612
61,Општина Долнени,Превоз на ученици од местото на живеење до училиштето и обратно,"1. ДООЕЛ „ДИЗИТУРС, 2. ДООЕЛ „ЕУ ЛИНДИ“, 3. ДООЕЛ „ЈАСИН ТУРС“, 4. ДООЕЛ „НОКИ ТРАНС НОВА“, 5. ДООЕЛ „ПРЕСИЛ ТРАНС“, 6. ДООЕЛ „ЏЕЛАДИН“, 7. ДОО „ВИЖИТ“,8.  ДООЕЛ „ВАФИ ТРАНС“, 9. ДООЕЛ „ЕКА ТРАНС“",16.09.2011,80049006
62,Општина Центар,"Изградба, реконструкција и санација на јавни површини изработени од асфалт на територија на Општина Центар",1. ГП Гранит АД Скопје; 2. Ексико ДООЕЛ Скопје; 3. Беграмо Инженеринг ДОО Скопје; 4. Сандра Инженеринг ДООЕЛ Скопје; 5. Изолација ДОО Скопје; 6. Транс Мет ДОО Скопје; 7. Пелагонија АД Гостивар; 8. Алпине Бау ГмБх Скопје; 9. Бауер БГ ДОО Скопје,26.04.2011,80000000
63,"Универзитет “Св. Кирил и Методиј“ во Скопје, Институт за земјотресно инженерство и инженерска сеизмологија - Скопје",Набавка на нафта - екстра лесно гориво за домаќинство за период од 2 години,ОКТА Рафинерија на нафта Акционерско друштво,28.11.2011,77899800
64,Народна банка на Република Македонија,Софтвер за интегриран сметководствен систем на Народна банка на Република Македонија.,РСЦ Доо Скопје и Аикон Југославија Доо Белград,29.07.2011,74308271
65,ЈП Комунална хигиена Скопје,Дизел гориво и екстра лесно,Пуцко Петрол ДОО,05.12.2011,70520906
66,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Регистрирани лекови,ДВНП „Минекс-Мип“ ДОО - Скопје,20.05.2011,70504478
67,Општина Центар,"Изградба, реконструкција и санација на инфраструктурни системи: водоводна, хидрантска, канализациона (атмосферска и фекална) на територија на Општина Центар",1. АД Енергомонт Скопје; 2. Промонтинг ДООЕЛ Скопје; 3. Еуродрво ДООЕЛ Скопје; 4. Бауер БГ ДОО Скопје; 5. Транс Мет ДОО Скопје; 6. Изградба Комерц ДООЕЛ Скопје; 7. Конструктор Рената и др. ДОО Скопје; 8. Адонис ДООЕЛ Скопје; 9. ПМИЗ Енергомонтажа Скопје; 10. Аквамонт-инг ДОО Скопје; 11. Баџак Инжинеринг ДОО Скопје; 12. Бортас ДОО Скопје; 13. Беграмо Инженеринг ДОО Скопје; 14. Техноградба Инжинеринг ДООЕЛ Скопје; 15. Тера Трејд ДООЕЛ Скопје; 16. ДГ Нела-Ар ДООЕЛ Скопје,02.06.2011,70000000
68,ЈЗУ Клиника за Хематологија,Набавка на лекови,Алкалоид Конс ДООЕЛ Скопје,01.08.2011,67676693
69,Општина Аеродром,"Избор на фирма со лиценца за изведувач Б, за хортикултурно и партерно уредување на јавни зелени површини на територија на општина Аеродром.",Конструктор Рената и др. ДОО,14.12.2011,67181707
70,ГА-МА АД - Скопје,"Изведување на градежни работи заради полагање на гасовод на приклучната делница 25, 26, 27 и 28 и МРС на објектот ТО Запад - Скопје и идни приклучоци на трасата, во вкупна должина од околу 8.000 m, а во сé според условите и барањата од овој Оглас и Техничката Спецификација од Тендерската документација бр. 0204-588/2011",Спектартермо Д.О.О. Скопје,07.06.2011,66613919
71,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Кокра е Арт-1 ДОО Тетово,01.11.2011,66360000
72,ССОУ Киро Бурназ - Куманово,Превоз на ученици во средни училишта во Општина Куманово,ДППТ ШТУЗ-ПАТНИЧКИ ДООЕЛ увоз-извоз Куманово,24.11.2011,66146409
73,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Кокра е Арт-1 ДОО Тетово,01.11.2011,65940000
74,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Кокра е Арт-1 ДОО Тетово,01.11.2011,65520000
75,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Кокра е Арт-1 ДОО Тетово,01.11.2011,65100000
76,Општина Карпош,"Изградба, реконструкција и одржување на пешачки патеки и тротоари на територија на Општина Карпош",1. ДПТУ АНИЗОР Драшко ДООЕЛ; 2. ДППУ Сандра Инженеринг ДООЕЛ; 3. АПОЛО ИНЖЕНЕРИНГ ДОО; 4. ДГТУ ДА БО Компани Светозар ДООЕЛ; 5. ДПТТУ Агро -Селца ДООЕЛ; 6. ДГТУ Метал Електрик Миодраг ДООЕЛ; 7. ТДППАГ Чингар Инженеринг ДООЕЛ; 8. ДПТИУ Тератрејд ДООЕЛ; 9. ИГМ Вратница А.Д,08.04.2011,65000000
77,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Мак Млин ДОО с.Чешиново,01.11.2011,64800000
78,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Мак Млин ДОО с.Чешиново,01.11.2011,64800000
79,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Кокра е Арт-1 ДОО Тетово,01.11.2011,64800000
80,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Кокра е Арт-1 ДОО Тетово,01.11.2011,64260000
81,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Кокра е Арт-1 ДОО Тетово,01.11.2011,63840000
82,АД Македонска пошта,услуга – хигиенско одржување на деловни простории,ТЕХНО - ЧИСТ доо Скопје,30.12.2011,63720000
83,Агенција за стоковни резерви,Набавка на 40.000 тони меркантилна пченица - рефус,Кокра е Арт-1 ДОО Тетово,01.11.2011,63420000
84,Министерство за култура,Изведување на завршни градежни и градежно-занатски работи на објект Музеј на македонската борба за државност и самостојност - „Музеј на внатрешната македонска револуционерна организација и Музеј на жртвите на комунистичкиот режим“,ГТД Бетон Штип АД Штип,05.08.2011,62480543
85,ЕВН Македонија АД- Скопје,Набавка на целосно електронски трифазни броила за директно приклучување,Искра АТГ доо,29.07.2011,62394652
86,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ УКРО за 2011-2012,КЕМОФАРМ,29.07.2011,62282105
87,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Регистрирани лекови,АДППУ “Д-р ПАНОВСКИ“ - Скопје,26.05.2011,61854260
88,Министерство за транспорт и врски,Набавка на 16 новопроизведени минибуси за градски превоз,Zheng Zhou Yutong Group Co.LTD,25.07.2011,61590695
89,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,ИЗВЕДБА НА ГРАДЕЖНИ И ГРАДЕЖНО ЗАНАТСКИ РАБОТИ НА БУНКЕР ЗА АКЦЕЛЕРАТОР И НАДЗОР НАД ИЗВЕДБА НА ГРАДЕЖНИ И ГРАДЕЖНО ЗАНАТСКИ РАБОТИ НА БУНКЕР ЗА АКЦЕЛЕРАТОР,ЛАМОНЕ МОРЕДА ДОО,29.11.2011,61473005
90,АД Електрани на Македонија - Скопје,Услуга за фиксна телефонија за потребите на АД Електрани на Македонија - Скопје,МАКЕДОНСКИ ТЕЛЕКОМ АД СКОПЈЕ,29.08.2011,60180000
91,Министерство за образование и наука,реконструкција на студентски дом „Стив Наумов“ – Скопје.,Виа ДОО,24.11.2011,60132440
92,Општина Центар,"Изградба, реконструкција и санација на јавни површини изработени од завршен слој на префабрикувани елементи на територија на Општина Центар",1. Ексико ДООЕЛ Скопје; 2. Пелагонија АД Гостивар; 3. Конструктор Рената и др.ДОО Скопје; 4. Сандра Инженеринг ДООЕЛ Скопје; 5. Урбан Инвест ДОО Кавадарци; 6. Изградба Комерц ДООЕЛ Скопје; 7. Анизор ДООЕЛ Скопје; 8. Аполо Инженеринг ДОО Скопје; 9. Тера Трејд ДООЕЛ Скопје и 10. ГД Гранит,29.04.2011,60000000
93,Општина Центар,Изградба и реконструкција на јавно осветлување и Н.Н. мрежа на територија на Општина Центар,1. Муња ДООЕЛ-Скопје; 2. Елтра ДООЕЛ-Скопје; 3. Дигитал ДОО-Струмица; 4. Свем Инженеринг ДОО-Скопје и 5. Панекс Инженеринг ДООЕЛ-Скопје,05.08.2011,60000000
94,Општина Гостивар,"За склучување на рамковна спогодба за изградба на улици, тротоари, патеки, паркиралишта, платоа и други урбани површини, изведување на водоводни линии како и фекални и атмосферски канализации","1. Бесим Комерц Дооел; 2. ЈП Комуналец; 3. Јефута Инженеринг Гостивар; 4. Еуро – Зимел ДООЕЛ; 5. Бери Транс с.Чегране; 6. Трново Трејд ДООЕЛ; 7. Бал Транс ДОО; 8. Пелагонија АД,Бето Транс с.Чајле; 9. Арбин Компани ДООЕЛ; 10. Бесјан Комерц ДОО; 11. Ир Транс ; 12.  Магнум Транс – Р ДООЕЛ Баг Коп; 13. Лабино Трејд с.Чегране; 14. Цими Бау с.Балиндол",06.04.2011,60000000
