No.,Institution,Contract,Supplier,Date,Amount
13,Министерство за здравство,"Набавка на инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот август 2014 - август 2016 година","Друштво за трговија, производство и услуги ФЕНИКС ФАРМА ДООЕЛ Скопје",24.11.2014,462897140
14,ЈП Водовод и канализација - Скопје,"Работи за изведување на градежни и градежно-занаетчиски работи за доизградба и довршување на сите фази на управна зграда на ЈП Водовод и Канализација Скопје, според предмер пресметка.","Друштво за градежништво, посредување, трговија и услуги АЛДИНГ-ИНЖИНЕРИНГ ДООЕЛ Скопје",30.04.2014,462470215
15,Министерство за здравство,Тестови за биохемиска анализа,Друштво за промет и консалтинг ФАРМАХЕМ ДООЕЛ СкопјеДруштво за промет и консалтинг ФАРМАХЕМ ДООЕЛ Скопје,28.05.2014,434242018
16,АД Електрани на Македонија - Скопје,Услуги за осигурување на имот и вработените во АД ЕЛЕМ за 3 осигурителни години во траење до 31.12.2016,Осигурување МАКЕДОНИЈА а.д.Скопје-Виена Иншуренс Груп,01.01.2014,432191970
17,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на градежни и градежно занаетчиски работи за изградба на административен објект,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",21.02.2014,431408000
18,ЕВН Македонија АД- Скопје,Броила со вграден ГСМ модем и прекинувач,"Друштво за трговија, производство, услуги и сервис ИСКРА АТГ ДОО Скопје",04.07.2014,414254988
19,АД Електрани на Македонија - Скопје,ЈН 01-108/2014 Услуга од помошна механизација на повик за РЕК Битола.,Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,11.09.2014,353858400
20,Министерство за култура,Изведување на преостанати градежни работи и градежно – занаетчиски работи (затворена карабина) на објект „Македонската филхармонија“ Скопје,Градежно друштво ГРАНИТ АД-Скопје,14.02.2014,347970848
21,Министерство за здравство,"Набавка на инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот август 2014 - август 2016 година","Друштво за внатрешна и надворешна трговија,застапување и услуги МЕДИКА ИНТЕРНАЦИОНАЛ ДОО Скопје",20.11.2014,336991727
22,ЕВН Македонија АД- Скопје,UPE-изолирани енергетски кабли Номинален напон Uo/U 12/20 kV и номинален напон Uo/U 20/35 kV,Друштво за производство трговија и услуги ЕЛЕКТРОЕЛЕМЕНТ Стојмир и други ДОО увоз-извоз Скопје,17.10.2014,333200000
23,АД Електрани на Македонија - Скопје,Услуга од ископ на јаловина (откривка) во Рудник Суводол – ПЕ Рудници,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",09.09.2014,307272000
24,Министерство за транспорт и врски,Изградба на фекална канализација во населсно место сопиште и локалите „Сончев Град“ и одведување на отпадните води низ општините Аеродром и Кисела Вода по принцип „клуч во раце“,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,15.08.2014,294945748
25,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1 (еден) нафтен дериват - Еуросупер БС 95,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,25.07.2014,267666667
26,Служба за општи и заеднички работи на Владата на Република Македонија,Изведба на градежни и градежно-занаетчиски работи за ентериерно уредување и адаптација на Кула 6 во објектот на Владата на Република Македонија,Друштво за градежништво услуги и трговија АСПРОМ ДООЕЛ увоз-извоз Скопје,12.12.2014,249564445
27,АД Електрани на Македонија - Скопје,Геолошки и геотехнички доистражувања на јагленовото лежиште „Брод-Гнеотино“,Градежен институт МАКЕДОНИЈА АД-Скопје,13.11.2014,248425058
28,ЕВН Македонија АД- Скопје,"Центрифугирани армиранобетонски столбови, конзоли, ногари и столбни трафостаници","Фабрика КАРПОШ-Акционерско друштво за проектирање,производство и монтажа на бетонски префабрикати,станови,индустриски објекти,мостови и далноводи Скопје",26.02.2014,247800000
29,АД Електрани на Македонија - Скопје,"Набавка и испорака на транспортни гумени ленти, за потребите на РЕК Битола",Трговско Друштво за машиноградба и посредување во прометот ССА ДООЕЛ Благуна експорт-импорт Скопје,04.08.2014,239599000
30,Министерство за здравство,"Набавка на инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот август 2014 - август 2016 година",Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,20.11.2014,220886574
31,М.Ж. ТранспортАД-Скопје,Нафта и нафтени деривати,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,26.11.2014,218506028
32,Јавно сообраќајно претпријатие СКОПЈЕ,Набавка и имплементација на систем за автоматска локација и електронски систем за наплата во возилата на ЈСП Скопје,Т-МОБИЛЕ МАКЕДОНИЈА Акционерско друштво за мобилни комуникации-Скопје,10.10.2014,215010410
33,Министерство за здравство,"Предмет на договорот е набавка на работи- реконструкција, пренамена и адаптација на Здравтсвен Дом Кичево за потребите на ЈЗУ Општа болница Кичево",Трговско друштво за производство трговија и услуги ИНСТАЛАЦИЈА увоз-извоз Исмаил ДООЕЛ с. Д. Дол Зајас,01.07.2014,207278800
34,АД Електрани на Македонија - Скопје,Услуга од ископ на јаловина (откривка) во Рудник Суводол – ПЕ Рудници.,Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,09.09.2014,201603000
35,ЕВН Македонија АД- Скопје,"Набавка и одржување на систем за управување со броила, со комуникација преку НН мрежа (PLC систем)",ADD Bulgaria OOD,12.08.2014,199675310
36,АД Електрани на Македонија - Скопје,ЈН 01-104/2014 Непредвидени работи при изградба на административниот објект“Деловна зграда на АД ЕЛЕМ“,STRABAG AG,13.11.2014,186617499
37,"Министерство за земјоделство, шумарство и водостопанство","Изградба на пристапен пат за брана „Речани“ на Оризарска река, Кочани","Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",16.07.2014,184391520
38,Министерство за здравство,набавка на Лекови за потребите на јавните здравствени установи во Република Македонија,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје",25.07.2014,182010244
39,ЕВН Македонија АД- Скопје,"Рамковна спогодба за Управување со Мониторинг Центар, набавка на дислоцирана собирна единица, инсталација и одржување на комуникациски уреди и централна комуникацска опрема",Друштво за консалтинг и услуги КРЕМАК-М ДООЕЛ Скопје,16.10.2014,174184992
40,Министерство за здравство,Набавка на Вакцини за континуирана имунизација и имунизација по епидемиолошки индикации на населението во Република Македонија за 2014 и 2015 година,Друштво за производство и промет на хемиски и козметички производи ЕЛБИЈОР ДОО увоз-извоз Скопје,05.12.2014,171693191
41,ЕВН Македонија АД- Скопје,"20/0,4 kV/kV Бетонски компактни трафостаници",Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,14.02.2014,166911000
42,ЕВН Македонија АД- Скопје,Набавка на Дистрибутивни трансформатори,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,30.06.2014,166567430
43,ЕВН Македонија АД- Скопје,"Мерно разводни ормари (без вградување во зид) за директни мерни уреди - Специјална изведба номинален напон Uo/U 0,23/0,4 kV",Друштво за производство и трговија РАДЕ КОНЧАР-ТРАНСФОРМАТОРИ И ЕЛЕКТРИЧНИ ПОСТРОЈКИ-ТЕП ДООЕЛ Скопје,22.05.2014,161386116
44,АД Електрани на Македонија - Скопје,Изведба на работи за градежно-геотњхничко санирање на одрони покрај пристапен пат -заштита на косини од пристапниот пат до брана СВ.Петка.,Градежен институт МАКЕДОНИЈА АД-Скопје,30.05.2014,157176000
45,ЈП Водовод и канализација - Скопје,Набавка на електрична енергија - по спецификација,"Друштво за производство,трговија и услуги МИСТ ЕНЕРЏИ ДООЕЛ Скопје",30.04.2014,153400000
46,ЕВН Македонија АД- Скопје,"Набавка на мерно-разводни ормари (мини, нормални, вградени и за улично осветление)","Друштво за производство,трговија и услуги СМЕЛТ-ИНГ ДОО Скопје",27.06.2014,153011247
47,АД Електрани на Македонија - Скопје,Транспорт на јаглен од РЕК Битола - Рудник Брод Гнеотино до депонија на Рудник Осломеј,"Друштво за производство,трговија,услуги и транспорт МИС-КОМЕРЦ Митко ДООЕЛ експорт-импорт Скопје",09.04.2014,149742000
48,Министерство за здравство,"Набавка на инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот август 2014 - август 2016 година",Трговско друштво за внатрешен и надворешен промет ЗЕГИН ДОО Скопје,24.11.2014,149168166
49,Министерство за здравство,"Набавка на инсулин, глукагон, инсулински игли и ленти за мерење шекер и инсулински пумпи со потрошен материјал за периодот август 2014 - август 2016 година","Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",20.11.2014,147505888
50,АД Електрани на Македонија - Скопје,Ремонтни активности за 2014 г.-Услуги од специјализирана работна рака во РЕК БИТОЛА,"ФАКОМ, увоз-извоз, А.Д.",05.08.2014,143715074
51,ЕВН Македонија АД- Скопје,UPE-изолирани енергетски кабли Номинален напон Uo/U 12/20 kV и номинален напон Uo/U 20/35 kV,Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,17.10.2014,142800000
52,ЈП Водовод и канализација - Скопје,"Реконструкција и замена на водоводни цевки (азбест цементни и поцинкувани) од разни профили – според проекти, за период од 12 месеци","1. ЖИКОЛ ДООЕЛ - Струмица
2. ВАРДАРГРАДБА ДОО с.Трубарево - Скопје
3. ДАН СА ТРЕЈД ДООЕЛ - Скопје
4. БАЏАК ИНЖЕЊЕРИНГ ДОО - Скопје
5. МАРКОСКИ К 73 ДООЕЛ - Струга
6. КОДИНГ ДООЕЛ - с.Конопиште,Кавадарци
7. ЕХИ ДООЕЛ - Скопје
8. АКВАМОНТ-ИНГ  ДОО Скопје
9. ЕНЕРГОМОНТ Скопје",14.04.2014,141600000
53,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1 нафтен дериват - Еуродизел БС (Д-Е-V),МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,14.04.2014,138788100
54,Министерство за здравство,Набавка на инфузиони раствори за потребите на јавните здравствени установи во Република Македонија,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,03.07.2014,138245742
55,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1 нафтен дериват - Еуродизел БС (Д-Е-V),ОКТА Рафинерија на нафта Акционерско друштво-Скопје ,24.04.2014,133832388
56,АД Електрани на Македонија - Скопје,Светли деривати за сопствени бензиски пумпи на АД ЕЛЕМ(еуро дизел Д Е V и еуро супер 95 БС,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Пласница Пласница",04.09.2014,128160000
57,Министерство за информатичко опшество и администрација,Набавка на информационен систем за управување со човечки ресурси,"Трговско друштво за производство, услуги и промет АССЕКО СЕЕ ДООЕЛ Скопје",29.01.2014,122900000
58,ЈЗУ Институт за трансфузиона медицина на Република Македонија Скопје,Фактори на коагулација,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,13.10.2014,122594609
59,АД Електрани на Македонија - Скопје,ЈН 16-358 Услуга од користење на сирова вода од ЈП Стрежево без претходен третман за РЕК Битола,ЈП Стрежево,17.01.2014,120317237
60,ЕВН Македонија АД- Скопје,"Елктромонтажни,градежни и земјени работи","Друштво за проектирање, производство, промет и услуги АДЦ ДООЕЛ Скопје",25.04.2014,117410000
61,Министерство за животна средина и просторно планирање,Изградба на втора фаза од водоводниот систем Тетово,"Друштво за градежништво,трговија и услуги НБ-ЦОМПАНУ ДОО Тетово",31.07.2014,114999913
62,ЈЗУ Клиника за Хематологија,Набавка на лекови,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје",14.03.2014,113925926
63,Општина Центар,Изградба на детска градинка „Кочо Рацин“ - Скопје,Градежно друштво ГРАНИТ АД-Скопје,31.01.2014,112132256
64,АД Електрани на Македонија - Скопје,Ангажирање на консултант за изработка на физибилити студија и имплементација на проект - Модернизација на ТЕ Осломеј,Друштво за инженеринг и консалтинг АФ-ЦОНСУЛТ ДООЕЛ Скопје,14.02.2014,109003695
65,Министерство за внатрешни работи на РМ,Еуродизел Д-Е V........1.800.000 литри,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,15.04.2014,103840000
66,Министерство за транспорт и врски,"Надзор над изградба на магистралниот гасовод на Република Македонија, лот 1, делница: Клечовце-Штип-Неготино",Друштво за планирање проектирање и инженеринг ПРОСТОР ДОО Куманово,21.07.2014,103014000
67,Дирекција за технолошки индустриски развојни зони,Изведба на основна внатрешна инфраструктура за ТИРЗ „Струга“,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,25.08.2014,101476917
68,М.Ж. Транспорт АД-Скопје,Набавка на електрична енергија,"Друштво за производство, трговија и услуги ФЈУЧР ЕНЕРЏИ увоз-извоз ДООЕЛ Скопје",02.06.2014,98202184
69,Министерство за транспорт и врски,"Набавка на работи за одвојување на фекална од атмосферска канализација и изградба на нова атмосферска канализација во Кочани, општина Кочани по принцип „клуч во раце“",Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,27.03.2014,96247980
70,Општина Штип,"Набавка, транспорт и испорака на екстра лесно масло за домаќинство - 1(ЕЛ-1) за основните и средните училишта, детските градинки и зградата на ЕЛС Штип","Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Пласница Пласница",24.12.2014,95580000
71,Министерство за транспорт и врски,"Изградба на пат с.Костинци – с.Зрзе – Манастир Св.Преображение Христово, општина Долнени (од км 0+000,00 до км 7+593,01)","Фабрика КАРПОШ-Акционерско друштво за проектирање,производство и монтажа на бетонски префабрикати,станови,индустриски објекти,мостови и далноводи Скопје",18.03.2014,95432264
72,Град Скопје,Реконструкција на фасада на објект „Сити Галери“,"Друштво со ограничена одговорност за проектирање, градежништво, внатрешна и надворешна трговија УРБАН ИНВЕСТ ДОО Грков Јован с.Возарци Кавадарци",26.11.2014,92625756
73,Министерство за здравство,Лабораториска опрема за потребите на производството на радиофармацевтици во ПЕТ (Позитронска Емисиона Томографија) Центар - Скопје,COMECER S.P.A.,12.10.2014,90820000
74,ЕВН Македонија АД- Скопје,Избор на Економски оператор за обезбедување на услуги во и поврзани со мобилна телефонија,Т-МОБИЛЕ МАКЕДОНИЈА Акционерско друштво за мобилни комуникации-Скопје,21.05.2014,88500000
75,ЈП Македонска радиодифузија,Набавка на ДВБ-Т опрема за допокривање на територијата на Република Македонија со дигитален сигнал и тоа: микробранова опрема,Ceragon Netvorks AC,10.01.2014,86369068
76,ЕВН Македонија АД- Скопје,"Изолиран нисконапонски воздушен кабел-самоносив кабловски сноп (СКС) Uo/U 0,6/1 kV со самоносечки проводник и самоносив кабловски сноп",Друштво за производство трговија и услуги ЕЛЕКТРОЕЛЕМЕНТ Стојмир и други ДОО увоз-извоз Скопје,25.09.2014,85799000
77,Општина Струмица,"За изведба на улици и уредување на градежно земјиште по програми FA, FD, J2, JA, JD, JG, JI, JL I JN на општина Струмица.","Друштво за производство,услуги и трговија увоз-извоз УНИВЕРЗАЛ ГРАДБА ДООЕЛ Струмица",29.05.2014,85000000
78,Општина Гази Баба,"Изградба на фекална канализациона мрежа за населените места Трубарево, Гоце Делчев, Јурумлери и Идризово",1. ЖИКОЛ ДООЕЛ - Струмица 2. ЕХИ ДООЕЛ - Скопје 3. ЕНЕРГОМОНТ - Скопје,18.03.2014,85000000
79,Град Скопје,Изградба на Плоштад „ВМРО“,"Друштво со ограничена одговорност за проектирање, градежништво, внатрешна и надворешна трговија УРБАН ИНВЕСТ ДОО Грков Јован с.Возарци Кавадарци",06.03.2014,84680340
80,Општина Куманово,Организирање на превоз на ученици во основни и средни училишта во Општина Куманово во учебната 2013/2014 година,"Друштво за производство, трговија и услуги УПМ-ГРУП ДООЕЛ Куманово",24.10.2014,84337311
81,Министерство за внатрешни работи на РМ,Масло за горење – екстра лесно ...1.400.000 литри,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Пласница Пласница",11.04.2014,82600000
82,Јавно сообраќајно претпријатие СКОПЈЕ,Адаптација на објект „Милениумски крст на Водно“ - Скопје,Друштво за производство и промет на големо и мало ТУРБОИНЖЕНЕРИНГ ДООЕЛ увоз-извоз Скопје,28.04.2014,82243587
83,АД Електрани на Македонија - Скопје,Услуга од ископ на јаловина (откривка) во Рудник Суводол – ПЕ Рудници,"Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",09.09.2014,79768000
84,Дирекција за технолошки индустриски развојни зони,Изведба на внатрешна инфраструктура за ТИРЗ Кичево,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,31.03.2014,77987723
85,Министерство за образование и наука,Откуп на учебници за основно и средно образование,Друштво за графички услуги и трговија АРС ЛАМИНА ДОО Скопје,21.04.2014,77192686
86,Министерство за образование и наука,Санација на СД „Гоце Делчев“ Општина Карпош-Скопје,"Друштво за производство, трговија, градежништво, угостителство и услуги ВИА ДОО увоз - извоз Вевчани",06.08.2014,76397375
87,ЕВН Македонија АД- Скопје,Набавка на нафтени деривати (гориво) со користење на безготовинска картичка за плаќање,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,18.02.2014,76239633
88,ЕВН Македонија АД- Скопје,Броила со вграден ГСМ модем и прекинувач,Elster GmbH,02.07.2014,75737652
89,Јавно претпријатие за државни патишта,Рехабилитација на државен пат Р2133 делница Липково - Оризари.,Компанија Ескаватори Урошевац Р.Косово,14.01.2014,73927000
90,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на градежни и градежно - занаетчиски работи за изработка на тераса со посебна заштита и кровна проодна тераса за објектот на Владата на Република Македонија,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",21.08.2014,73781015
91,АД Електрани на Македонија - Скопје,Одлеаноци за РЕК БИТОЛА,Челичен лив и гранулат ЖЕЛЕЗНИК АД Сопотница Демир Хисар,29.08.2014,73616356
92,ФОД ДООЕЛ Новаци АД ЕЛЕМ Скопје,Проектирање и изведба на хала и сообраќајно уредување со сите фази по повик со понудена цена за 1 м2,"Друштво за градежништво, производство и услуги БВ ИНЖЕНЕРИНГ Битола ДООЕЛ",05.03.2014,72570000
93,ЈП Комунална хигиена Скопје,горива,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Пласница Пласница",11.03.2014,72484534
94,АД Електрани на Македонија - Скопје,Услуги за осигурување на имот и вработените во АД ЕЛЕМ за 3 осигурителни години во траење до 31.12.2016,Осигурување МАКЕДОНИЈА а.д.Скопје-Виена Иншуренс Груп,01.01.2014,72000000
95,Државен Универзитет во Тетово,"Реконструкција, адаптација и изградба на други објекти","Друштво за Градежништво производство,Промет и услуги ИНЖЕНЕРИНГ-ГРОУП ДООЕЛ експорт-импорт с.Желино-Желино",13.02.2014,71504185
96,ЈЗУ Институт за трансфузиона медицина на Република Македонија Скопје,Алтернативни лекови за премостување на инхибиторна активност,Друштво за медицинско снабдување увоз-извоз РЕПЛЕК АД Скопје,26.06.2014,68379173
97,ЕВН Македонија АД- Скопје,Набавка на нафтени деривати (гориво) со користење на безготовинска картичка за плаќање,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,11.02.2014,67636035
98,АД Електрани на Македонија - Скопје,Градежни работи за санација на оџак 1 со изработка на основен ревидиран проект по систем “клуч на рака” во ТЕ РЕК Битола;,"Друштво за изградба и одржување на топлотехнички постројки,трговија и услуги ВАТРОСТАЛНА Михајло и останати Друштво со ограничена одговорност Скопје",01.08.2014,67118400
99,Општина Гевгелија,Изградба на примарна и секундарна сообраќајна мрежа за Мултинаменски комплекс „МИЛЦИ“ Гевгелија,Друштво за градежништво проектирање и трговија ЕУРОИНГ Ѓорѓе ДООЕЛ Гевгелија,12.08.2014,66993134
100,ЈЗУ Градска општа болница „8-ми Септември“ Скопје,Изградба на примарна и секундарна сообраќајна мрежа за Мултинаменски комплекс „МИЛЦИ“ Гевгелија,Друштво за инженеринг и проектирање ДОТ АРХИТЕКТИ ДООЕЛ Скопје,29.04.2014,66224401
101,ЕВН Македонија АД- Скопје,Набавка на мерни ормари за полуиндиректни мерни уреди,"Друштво за производство,трговија и услуги СМЕЛТ-ИНГ ДОО Скопје",04.08.2014,66080000
102,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија за 2014 година,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",03.04.2014,64426189
103,Министерство за транспорт и врски,"Изградба на фекалнa канализациja за село Лескоец-II и III фаза, општина Охрид по принцип „клуч во раце“","Трговско друштво за производство,трговија и услуги КОНТИ ХИДРОПЛАСТ ДООЕЛ Гевгелија",13.05.2014,63301100
104,АД Електрани на Македонија - Скопје,Услуги за осигурување на имот и вработените во АД ЕЛЕМ за 3 осигурителни години во траење до 31.12.2016,Осигурување МАКЕДОНИЈА а.д.Скопје-Виена Иншуренс Груп,01.01.2014,61800000
105,ЕВН Македонија АД- Скопје,"Елктромонтажни,градежни и земјени работи",Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,28.04.2014,61360000
106,ЕВН Македонија АД- Скопје,Набавка на комуникациски уреди за системот за дојава и мониторинг на броила,Kremak EOOD,28.04.2014,60179979
107,Општина Кичево,"Реконструкција на ,,Булевар ослободување,, Оп. Кичево (повторена постапка)","Друштво за трговија,производство и услуги АС СЕЊАК увоз-извоз Селаудин Арифи ДООЕЛ Кичево",02.05.2014,60062000
