No.,Institution,Contract,Supplier,Date,Amount
39,Општина Гостивар,"За склучување на рамковна спогодба за изградба на улици, тротоари, патеки, паркиралишта, платоа и други урбани површини, изведување на водоводни линии како и фекални и атмосферски канализации",1. Агро Селца; 2. Фортеса Инженеринг; 3. Трново Трејд; 4. ЈП Комуналец; 5. Пелагонија АД; 6. Јефута Инженеринг; 7. Гранит АД; 8. Еуро – Зимел; 9. Бал Транс ДОО; 10. Магнум Транс; 11. Алпине Бау ГмбХ; 12. Арбин Компани,26.05.2010,93000000
40,ЈП Македонски шуми п.о - Скопје,Услуга за привремено вработување,"АПВ ""Контакт бизнис""",21.04.2010,89680000
41,Министерство за здравство,"изведување на градежни и градежно-занаетчиски работи во ЈЗУ Општа болница – Куманово, ЈЗУ Општа болница – Кочани и ЈЗУ Општа болница – Крива Паланка",КОНСТРУКТОР ИНЖЕЊЕРИНГ ДД - СПЛИТ,19.07.2010,89215895
42,АД Електрани на Македонија - Скопје,"Докомплетирање на I фаза на ТС 110/6 kV Брод-Гнеотино која опфаќа: набавка, монтажа испитување и пуштање во работа на електроопрема по спецификација, за подружница РЕК Битола",АББ ДОО Загреб,25.11.2010,81770410
43,АД Електрани на Македонија - Скопје,"Работна рака и услуги за време на ремонт во 2010 г, во ТЕ-РЕК Битола, за арматура, цевоводи и заварување и одпепелување",1. МАРКОВСКИ КОМПАНИ БИТОЛА; 2. ДМ БАЊАРОТ; 3. ЕЛ-ТЕ Инжинеринг; 4. Енергоремонт; 5. МЗТ ИНЖИНЕРИНГ; 6. факом АД; 7. ДОО ПОМ; 8. МОНТИНГ ЕНЕРГЕТИКА; 9. ЕНИГМА,30.04.2010,81420000
44,АД Електрани на Македонија - Скопје,Ангажирање на работници по повик,1. Инсталација - Кичево; 2. Старт ас - ц. Поповјани Осломеј; 3. Тајмиште - Кичево,30.06.2010,80000000
45,ЕВН Македонија АД- Скопје,Дистрибутивни трансформатори со проводни изолатори,Кимтех Бугарија ЛТД,31.12.2010,78001783
46,Општина Пласница,„Изградба на локален пат во с.Лисичани-општина Пласница“,ДГПИ„Пелагонија“АД од Гостивар,28.05.2010,75385504
47,Агенција за државни патишта,Изработка на сообраќајно - техничка документација на ниво на Основен сообраќаен проект за реконструирање на сообраќајни знаци и ознаките на коловозот на магистралните патни правци и нивните соодветни краци во Република Македонија,"Друштво за планирање, проектирање и инженеринг ПРОСТОР ДОО - Куманово",25.05.2010,70800000
48,Јавно претпријатие за стопанисување со станбен и деловен простор на Република Македонија,Градежни работи за изградба на објект Моша Пијаде бб Берово,"Друштво за градежништво, производство, трговија, угостителство и услуги ВИА ИНЖИНЕРИНГ",13.12.2010,70212428
49,АД Електрани на Македонија - Скопје,ЈН 68/2010 Ангажирање на градежна механизацијаза потребите на подружницата РЕК Битола,1. ЛИБХЕР БИТОЛА; 2. РУД КОП БИТОЛА; 3. КАЈМАКЧАЛАН БИТОЛА; ,29.04.2010,70000000
50,ЈП Комунална хигиена Скопје,дизел гориво и екстра лесно,Глобал Интернатионал ДОО Скопје,18.10.2010,69582948
51,Министерство за одбрана - сектор за логистика,Реконструкција на караула Попова Шапка,Ројал Васе ДООЕЛ,25.05.2010,68477975
52,Министерство за одбрана - сектор за логистика,Ткаенина за борбена униформа,Мак АД Габрово,22.12.2010,61218432
53,Министерство за транспорт и врски,"Набавка на консултантски услуги за вршење на постојан и редовен надзор на начинот на вршењето на концесиската дејност и реализацијата на Договорот за концесија за развој, финансирање, користење и одржување на аеродромот „Александар Велики“ – Скопје, аеродромот „Св. Апостол Павле“ – Охрид и градба на нов карго – аеродром во Штип, за времетраење од 2 години",„NACO„ Netherlands Airport Consultants B.V.,07.07.2010,60552882
54,АД Електрани на Македонија - Скопје,"Услуги од користење на работна рака за помошни ремонтни работи за време на ремонт во 2010г, во ТЕ-РЕК Битола",1. Спектартермо Скопје; 2. Изо Прогрес ДООЕЛ Скопје; 3. Огноотпорно Скопје; 4. Ватростална Скопје,16.04.2010,60000000
